CardID,CustomerID,CardType,CardStatus
CR00171,C01586,Credit,Expired
CR00172,C02147,Credit,Active
CR00173,C04732,Credit,Blocked
CR00174,C04167,Credit,Blocked
CR00175,C01079,Debit,Blocked
CR00176,C03156,Credit,Expired
CR00177,C02016,Debit,Active
CR00178,C02909,Credit,Active
CR00179,C04652,Credit,Blocked
CR00180,C04614,Debit,Expired
CR00181,C01108,Credit,Active
CR00182,C02266,Debit,Active
CR00183,C00879,Debit,Expired
CR00184,C03384,Debit,Blocked
CR00185,C03781,Debit,Active
CR00186,C02253,Debit,Active
CR00187,C04049,Debit,Blocked
CR00188,C01291,Debit,Expired
CR00189,C02436,Credit,Active
CR00190,C03054,Debit,Expired
CR00191,C00259,Credit,Expired
CR00192,C01247,Credit,Active
CR00193,C01645,Debit,Active
CR00194,C03247,Debit,Active
CR00195,C03083,Credit,Active
CR00196,C02630,Credit,Expired
CR00197,C04120,Debit,Blocked
CR00198,C01259,Debit,Expired
CR00199,C00568,Debit,Expired
CR00200,C02716,Credit,Expired
CR00201,C02993,Credit,Expired
CR00202,C03192,Credit,Blocked
CR00203,C01103,Debit,Active
CR00204,C02926,Debit,Expired
CR00205,C03451,Debit,Expired
CR00206,C04466,Debit,Active
CR00207,C01188,Debit,Expired
CR00208,C02221,Debit,Expired
CR00209,C04792,Debit,Expired
CR00210,C04125,Credit,Blocked
CR00211,C02640,Debit,Active
CR00212,C03703,Credit,Expired
CR00213,C00409,Credit,Expired
CR00214,C02052,Debit,Blocked
CR00215,C02416,Credit,Blocked
CR00216,C01332,Debit,Expired
CR00217,C03451,Credit,Active
CR00218,C04326,Credit,Expired
CR00219,C03885,Credit,Blocked
CR00220,C00955,Credit,Blocked
CR00221,C03077,Debit,Active
CR00222,C01493,Credit,Expired
CR00223,C04958,Credit,Expired
CR00224,C01937,Credit,Active
CR00225,C01766,Debit,Expired
CR00226,C02549,Credit,Expired
CR00227,C02416,Credit,Blocked
CR00228,C03550,Credit,Blocked
CR00229,C00974,Credit,Blocked
CR00230,C00118,Credit,Blocked
CR00231,C03809,Debit,Expired
CR00232,C02509,Debit,Blocked
CR00233,C02569,Debit,Blocked
CR00234,C04462,Credit,Active
CR00235,C01102,Credit,Active
CR00236,C04244,Credit,Active
CR00237,C03323,Credit,Expired
CR00238,C04240,Credit,Expired
CR00239,C03209,Debit,Active
CR00240,C01351,Credit,Expired
CR00241,C01295,Debit,Blocked
CR00242,C00860,Debit,Blocked
CR00243,C00983,Debit,Active
CR00244,C04057,Debit,Expired
CR00245,C01451,Debit,Active
CR00246,C03129,Credit,Active
CR00247,C03440,Credit,Active
CR00248,C02437,Debit,Active
CR00249,C03526,Debit,Blocked
CR00250,C03360,Credit,Active
CR00251,C01009,Credit,Active
CR00252,C04562,Credit,Active
CR00253,C02801,Credit,Active
CR00254,C03212,Debit,Active
CR00255,C02266,Credit,Expired
CR00256,C02065,Debit,Active
CR00257,C03871,Credit,Expired
CR00258,C02479,Credit,Active
CR00259,C02834,Debit,Active
CR00260,C01155,Debit,Expired
CR00261,C02599,Debit,Expired
CR00262,C01761,Credit,Blocked
CR00263,C01550,Debit,Expired
CR00264,C03872,Credit,Expired
CR00265,C01411,Credit,Expired
CR00266,C00338,Debit,Expired
CR00267,C04395,Debit,Active
CR00268,C01615,Credit,Blocked
CR00269,C01659,Debit,Expired
CR00270,C04556,Credit,Active
CR00271,C03326,Debit,Expired
CR00272,C04907,Debit,Blocked
CR00273,C04878,Debit,Blocked
CR00274,C00292,Credit,Active
CR00275,C04202,Credit,Expired
CR00276,C03971,Credit,Expired
CR00277,C04823,Debit,Blocked
CR00278,C02144,Debit,Blocked
CR00279,C03132,Debit,Active
CR00280,C00658,Debit,Expired
CR00281,C01269,Debit,Active
CR00282,C04360,Debit,Expired
CR00283,C01157,Credit,Expired
CR00284,C04623,Credit,Active
CR00285,C03662,Debit,Active
CR00286,C02888,Credit,Blocked
CR00287,C02345,Debit,Active
CR00288,C01233,Credit,Blocked
CR00289,C04296,Debit,Blocked
CR00290,C01218,Credit,Expired
CR00291,C03388,Credit,Expired
CR00292,C02559,Debit,Blocked
CR00293,C03918,Credit,Active
CR00294,C02993,Debit,Expired
CR00295,C00643,Debit,Expired
CR00296,C04397,Credit,Expired
CR00297,C04735,Credit,Active
CR00298,C00838,Credit,Active
CR00299,C04991,Debit,Active
CR00300,C03072,Credit,Active
CR00301,C02071,Credit,Active
CR00302,C00858,Credit,Blocked
CR00303,C04902,Debit,Expired
CR00304,C00366,Credit,Blocked
CR00305,C04468,Debit,Active
CR00306,C00943,Debit,Blocked
CR00307,C00795,Credit,Active
CR00308,C00509,Debit,Blocked
CR00309,C03739,Debit,Blocked
CR00310,C00012,Credit,Blocked
CR00311,C04328,Debit,Expired
CR00312,C02798,Credit,Expired
CR00313,C01546,Credit,Active
CR00314,C02287,Credit,Expired
CR00315,C02756,Credit,Expired
CR00316,C00947,Debit,Blocked
CR00317,C02041,Credit,Blocked
CR00318,C03742,Credit,Expired
CR00319,C02039,Debit,Active
CR00320,C03813,Credit,Active
CR00321,C02349,Debit,Expired
CR00322,C01720,Credit,Active
CR00323,C02738,Credit,Active
CR00324,C03043,Credit,Blocked
CR00325,C02226,Debit,Active
CR00326,C01553,Credit,Active
CR00327,C04750,Credit,Blocked
CR00328,C01489,Debit,Blocked
CR00329,C03474,Debit,Expired
CR00330,C03212,Credit,Active
CR00331,C04498,Debit,Expired
CR00332,C00179,Credit,Blocked
CR00333,C02919,Debit,Active
CR00334,C00402,Credit,Blocked
CR00335,C04313,Debit,Active
CR00336,C00999,Debit,Active
CR00337,C01238,Debit,Blocked
CR00338,C04305,Credit,Active
CR00339,C00508,Credit,Expired
CR00340,C04664,Credit,Blocked
CR00341,C02940,Debit,Active
CR00342,C04698,Credit,Blocked
CR00343,C04235,Credit,Blocked
CR00344,C01197,Debit,Active
CR00345,C02237,Debit,Blocked
CR00346,C02293,Debit,Blocked
CR00347,C00095,Debit,Expired
CR00348,C02958,Debit,Expired
CR00349,C03828,Credit,Blocked
CR00350,C04244,Credit,Active
CR00351,C00948,Credit,Expired
CR00352,C01064,Credit,Active
CR00353,C00400,Credit,Active
CR00354,C03677,Credit,Blocked
CR00355,C03983,Debit,Active
CR00356,C02792,Debit,Blocked
CR00357,C00276,Debit,Expired
CR00358,C00060,Debit,Blocked
CR00359,C04594,Debit,Expired
CR00360,C01042,Debit,Expired
CR00361,C03340,Debit,Expired
CR00362,C00523,Credit,Blocked
CR00363,C02903,Credit,Active
CR00364,C00780,Debit,Active
CR00365,C01175,Credit,Active
CR00366,C03618,Credit,Blocked
CR00367,C04972,Debit,Blocked
CR00368,C03557,Credit,Active
CR00369,C00802,Credit,Expired
CR00370,C04783,Debit,Expired
CR00371,C04525,Debit,Expired
CR00372,C01862,Credit,Active
CR00373,C01852,Debit,Blocked
CR00374,C00038,Debit,Blocked
CR00375,C04024,Credit,Expired
CR00376,C04013,Debit,Active
CR00377,C04681,Debit,Expired
CR00378,C02146,Debit,Active
CR00379,C01847,Credit,Active
CR00380,C03441,Debit,Active
CR00381,C03948,Credit,Active
CR00382,C01409,Credit,Active
CR00383,C02556,Debit,Active
CR00384,C01954,Credit,Active
CR00385,C04194,Credit,Blocked
CR00386,C04620,Credit,Blocked
CR00387,C00687,Debit,Active
CR00388,C03529,Debit,Active
CR00389,C02438,Debit,Active
CR00390,C04566,Debit,Active
CR00391,C03912,Credit,Expired
CR00392,C01486,Credit,Blocked
CR00393,C02022,Debit,Blocked
CR00394,C00180,Debit,Blocked
CR00395,C04316,Credit,Expired
CR00396,C00941,Debit,Blocked
CR00397,C03056,Credit,Expired
CR00398,C01402,Credit,Expired
CR00399,C02044,Debit,Active
CR00400,C00500,Debit,Expired
CR00401,C04948,Debit,Active
CR00402,C00705,Debit,Blocked
CR00403,C01195,Credit,Active
CR00404,C04635,Debit,Blocked
CR00405,C01760,Credit,Blocked
CR00406,C03023,Credit,Active
CR00407,C04722,Credit,Expired
CR00408,C02872,Credit,Active
CR00409,C03750,Credit,Active
CR00410,C02423,Debit,Expired
CR00411,C03179,Debit,Active
CR00412,C03650,Credit,Active
CR00413,C00537,Credit,Expired
CR00414,C01748,Credit,Blocked
CR00415,C01880,Credit,Active
CR00416,C01909,Debit,Active
CR00417,C03569,Debit,Blocked
CR00418,C01661,Debit,Active
CR00419,C00134,Credit,Expired
CR00420,C03283,Credit,Active
CR00421,C01859,Debit,Expired
CR00422,C01909,Debit,Expired
CR00423,C01909,Debit,Blocked
CR00424,C00991,Debit,Blocked
CR00425,C01303,Credit,Active
CR00426,C02093,Debit,Active
CR00427,C04434,Debit,Active
CR00428,C02110,Debit,Active
CR00429,C02216,Debit,Blocked
CR00430,C03782,Credit,Expired
CR00431,C03540,Debit,Expired
CR00432,C02603,Credit,Blocked
CR00433,C00761,Debit,Active
CR00434,C04487,Credit,Expired
CR00435,C01797,Credit,Blocked
CR00436,C00185,Credit,Active
CR00437,C03968,Credit,Active
CR00438,C03012,Credit,Expired
CR00439,C03029,Debit,Blocked
CR00440,C00400,Debit,Blocked
CR00441,C04457,Credit,Expired
CR00442,C03325,Debit,Expired
CR00443,C02121,Credit,Blocked
CR00444,C04416,Debit,Expired
CR00445,C04757,Debit,Expired
CR00446,C03641,Debit,Blocked
CR00447,C04489,Debit,Expired
CR00448,C00798,Credit,Blocked
CR00449,C04619,Debit,Expired
CR00450,C00080,Credit,Active
CR00451,C02706,Debit,Expired
CR00452,C00312,Credit,Expired
CR00453,C01954,Debit,Blocked
CR00454,C04160,Debit,Blocked
CR00455,C00374,Debit,Blocked
CR00456,C04751,Credit,Expired
CR00457,C02568,Debit,Blocked
CR00458,C01036,Credit,Expired
CR00459,C02175,Credit,Expired
CR00460,C00393,Debit,Active
CR00461,C02109,Credit,Active
CR00462,C02351,Debit,Expired
CR00463,C04424,Debit,Active
CR00464,C04775,Debit,Active
CR00465,C02542,Credit,Expired
CR00466,C02874,Credit,Expired
CR00467,C03189,Credit,Expired
CR00468,C03326,Debit,Blocked
CR00469,C01818,Debit,Blocked
CR00470,C01545,Credit,Expired
CR00471,C03695,Credit,Expired
CR00472,C01127,Credit,Expired
CR00473,C00342,Debit,Blocked
CR00474,C02038,Debit,Expired
CR00475,C03525,Debit,Expired
CR00476,C00051,Credit,Active
CR00477,C04502,Debit,Blocked
CR00478,C01425,Credit,Active
CR00479,C02030,Debit,Expired
CR00480,C04074,Credit,Expired
CR00481,C02709,Credit,Expired
CR00482,C04391,Debit,Blocked
CR00483,C00435,Debit,Blocked
CR00484,C01198,Credit,Expired
CR00485,C03164,Credit,Blocked
CR00486,C01310,Debit,Active
CR00487,C01891,Debit,Blocked
CR00488,C00028,Debit,Blocked
CR00489,C00151,Debit,Blocked
CR00490,C02804,Debit,Active
CR00491,C00405,Debit,Blocked
CR00492,C01960,Credit,Expired
CR00493,C02325,Debit,Active
CR00494,C04320,Debit,Expired
CR00495,C04211,Credit,Active
CR00496,C01367,Credit,Blocked
CR00497,C01709,Debit,Blocked
CR00498,C02551,Debit,Blocked
CR00499,C02215,Credit,Expired
CR00500,C03377,Credit,Expired
CR00501,C04921,Credit,Blocked
CR00502,C04226,Debit,Blocked
CR00503,C02276,Debit,Expired
CR00504,C00965,Credit,Expired
CR00505,C00454,Debit,Expired
CR00506,C04647,Credit,Expired
CR00507,C03569,Credit,Blocked
CR00508,C01149,Debit,Active
CR00509,C04584,Credit,Blocked
CR00510,C04718,Debit,Active
CR00511,C01276,Credit,Blocked
CR00512,C01515,Debit,Active
CR00513,C04307,Credit,Active
CR00514,C03075,Credit,Active
CR00515,C03395,Credit,Expired
CR00516,C04213,Credit,Active
CR00517,C04532,Credit,Blocked
CR00518,C04647,Credit,Expired
CR00519,C03220,Debit,Blocked
CR00520,C02222,Debit,Active
CR00521,C00582,Credit,Active
CR00522,C02274,Credit,Active
CR00523,C01197,Credit,Active
CR00524,C02485,Debit,Blocked
CR00525,C03892,Debit,Blocked
CR00526,C03040,Credit,Active
CR00527,C02311,Credit,Active
CR00528,C03805,Credit,Blocked
CR00529,C03971,Debit,Active
CR00530,C04042,Debit,Active
CR00531,C03394,Credit,Blocked
CR00532,C02977,Debit,Expired
CR00533,C01296,Credit,Expired
CR00534,C01257,Credit,Active
CR00535,C00775,Credit,Active
CR00536,C03693,Credit,Expired
CR00537,C03140,Credit,Active
CR00538,C00524,Debit,Active
CR00539,C00270,Credit,Expired
CR00540,C02638,Debit,Expired
CR00541,C01775,Debit,Active
CR00542,C01168,Debit,Expired
CR00543,C04282,Debit,Active
CR00544,C04690,Credit,Active
CR00545,C01620,Debit,Active
CR00546,C03443,Debit,Expired
CR00547,C04269,Credit,Expired
CR00548,C04028,Credit,Active
CR00549,C00714,Debit,Expired
CR00550,C04668,Debit,Blocked
CR00551,C02273,Debit,Expired
CR00552,C00175,Credit,Blocked
CR00553,C01669,Debit,Expired
CR00554,C04713,Debit,Active
CR00555,C02608,Credit,Blocked
CR00556,C03022,Credit,Blocked
CR00557,C00808,Debit,Blocked
CR00558,C00633,Credit,Active
CR00559,C01412,Credit,Expired
CR00560,C04096,Debit,Blocked
CR00561,C00011,Credit,Active
CR00562,C02525,Debit,Blocked
CR00563,C04926,Credit,Blocked
CR00564,C00768,Credit,Blocked
CR00565,C00052,Credit,Active
CR00566,C03616,Debit,Active
CR00567,C04524,Debit,Expired
CR00568,C01969,Credit,Active
CR00569,C04128,Debit,Blocked
CR00570,C00544,Credit,Active
CR00571,C03517,Debit,Expired
CR00572,C03306,Credit,Active
CR00573,C00676,Debit,Expired
CR00574,C01573,Credit,Expired
CR00575,C04920,Credit,Expired
CR00576,C03703,Credit,Blocked
CR00577,C04741,Credit,Blocked
CR00578,C02572,Credit,Active
CR00579,C04652,Debit,Blocked
CR00580,C02318,Credit,Expired
CR00581,C00589,Debit,Active
CR00582,C00905,Credit,Blocked
CR00583,C02774,Credit,Blocked
CR00584,C03427,Debit,Expired
CR00585,C03594,Credit,Active
CR00586,C01962,Debit,Active
CR00587,C02955,Credit,Active
CR00588,C00930,Credit,Expired
CR00589,C01771,Debit,Active
CR00590,C01270,Debit,Expired
CR00591,C00883,Credit,Blocked
CR00592,C03850,Debit,Expired
CR00593,C02887,Debit,Expired
CR00594,C02165,Debit,Expired
CR00595,C04699,Debit,Active
CR00596,C02928,Debit,Blocked
CR00597,C01950,Credit,Expired
CR00598,C04370,Credit,Active
CR00599,C02834,Credit,Expired
CR00600,C00477,Credit,Active
CR00601,C03054,Debit,Blocked
CR00602,C04586,Credit,Blocked
CR00603,C04337,Credit,Active
CR00604,C03011,Debit,Active
CR00605,C02680,Debit,Blocked
CR00606,C02079,Debit,Blocked
CR00607,C04143,Debit,Expired
CR00608,C01657,Credit,Active
CR00609,C01356,Credit,Active
CR00610,C00956,Debit,Active
CR00611,C02247,Debit,Expired
CR00612,C01937,Debit,Expired
CR00613,C01331,Credit,Blocked
CR00614,C02748,Credit,Active
CR00615,C02135,Credit,Blocked
CR00616,C03498,Debit,Expired
CR00617,C00445,Debit,Active
CR00618,C01418,Credit,Active
CR00619,C04524,Debit,Active
CR00620,C03821,Credit,Blocked
CR00621,C02677,Credit,Blocked
CR00622,C01055,Debit,Blocked
CR00623,C02527,Credit,Blocked
CR00624,C01438,Debit,Blocked
CR00625,C01746,Debit,Active
CR00626,C02184,Debit,Expired
CR00627,C03129,Debit,Active
CR00628,C04404,Debit,Blocked
CR00629,C04846,Credit,Blocked
CR00630,C00782,Credit,Blocked
CR00631,C03959,Debit,Expired
CR00632,C02862,Credit,Expired
CR00633,C03683,Debit,Expired
CR00634,C00517,Debit,Expired
CR00635,C01817,Credit,Blocked
CR00636,C00975,Credit,Active
CR00637,C04592,Debit,Active
CR00638,C02728,Debit,Active
CR00639,C03817,Credit,Active
CR00640,C00681,Credit,Active
CR00641,C04808,Credit,Blocked
CR00642,C00991,Credit,Blocked
CR00643,C04045,Credit,Blocked
CR00644,C02550,Debit,Blocked
CR00645,C04152,Debit,Expired
CR00646,C00825,Debit,Active
CR00647,C00855,Credit,Expired
CR00648,C04797,Debit,Blocked
CR00649,C00696,Credit,Active
CR00650,C01767,Debit,Expired
CR00651,C02726,Debit,Expired
CR00652,C01694,Debit,Blocked
CR00653,C01395,Credit,Expired
CR00654,C02125,Credit,Active
CR00655,C04757,Credit,Active
CR00656,C01534,Credit,Blocked
CR00657,C04101,Debit,Active
CR00658,C01675,Credit,Expired
CR00659,C04516,Credit,Expired
CR00660,C01467,Credit,Active
CR00661,C00582,Debit,Expired
CR00662,C04636,Credit,Expired
CR00663,C03064,Debit,Expired
CR00664,C01166,Credit,Blocked
CR00665,C01274,Debit,Blocked
CR00666,C00114,Debit,Active
CR00667,C01955,Credit,Expired
CR00668,C02804,Debit,Blocked
CR00669,C03775,Credit,Expired
CR00670,C02634,Debit,Blocked
CR00671,C00701,Credit,Expired
CR00672,C01365,Credit,Expired
CR00673,C01413,Credit,Expired
CR00674,C04559,Credit,Expired
CR00675,C01226,Credit,Expired
CR00676,C01846,Credit,Active
CR00677,C04589,Debit,Blocked
CR00678,C01845,Credit,Active
CR00679,C01147,Credit,Expired
CR00680,C04703,Credit,Blocked
CR00681,C00781,Credit,Active
CR00682,C04790,Debit,Active
CR00683,C01617,Credit,Expired
CR00684,C01288,Credit,Active
CR00685,C02880,Debit,Blocked
CR00686,C00532,Credit,Blocked
CR00687,C01463,Debit,Active
CR00688,C04303,Credit,Blocked
CR00689,C01957,Debit,Blocked
CR00690,C01232,Debit,Blocked
CR00691,C00509,Credit,Expired
CR00692,C00662,Debit,Blocked
CR00693,C00297,Credit,Blocked
CR00694,C02629,Debit,Active
CR00695,C00259,Credit,Expired
CR00696,C01515,Credit,Expired
CR00697,C00838,Credit,Active
CR00698,C01310,Debit,Expired
CR00699,C04204,Debit,Expired
CR00700,C02226,Credit,Blocked
CR00701,C01041,Debit,Expired
CR00702,C03741,Credit,Expired
CR00703,C03262,Debit,Active
CR00704,C00839,Credit,Expired
CR00705,C04331,Credit,Active
CR00706,C00067,Credit,Active
CR00707,C00951,Credit,Expired
CR00708,C03270,Debit,Blocked
CR00709,C03951,Credit,Blocked
CR00710,C04427,Debit,Active
CR00711,C02417,Debit,Active
CR00712,C03950,Credit,Blocked
CR00713,C02751,Credit,Blocked
CR00714,C03906,Debit,Active
CR00715,C00093,Debit,Active
CR00716,C02482,Credit,Active
CR00717,C03004,Debit,Blocked
CR00718,C01040,Credit,Blocked
CR00719,C03339,Debit,Blocked
CR00720,C02968,Credit,Active
CR00721,C04899,Credit,Blocked
CR00722,C04194,Debit,Blocked
CR00723,C01854,Debit,Blocked
CR00724,C03255,Debit,Active
CR00725,C03725,Debit,Blocked
CR00726,C02009,Debit,Expired
CR00727,C02082,Debit,Blocked
CR00728,C03987,Debit,Blocked
CR00729,C03477,Credit,Blocked
CR00730,C00010,Credit,Blocked
CR00731,C01773,Credit,Active
CR00732,C04172,Debit,Expired
CR00733,C01094,Debit,Blocked
CR00734,C04070,Debit,Active
CR00735,C00804,Credit,Blocked
CR00736,C03924,Debit,Active
CR00737,C03376,Debit,Active
CR00738,C04708,Credit,Blocked
CR00739,C01656,Credit,Expired
CR00740,C03555,Debit,Blocked
CR00741,C00219,Debit,Active
CR00742,C04204,Credit,Active
CR00743,C03129,Credit,Blocked
CR00744,C01688,Credit,Active
CR00745,C01799,Debit,Blocked
CR00746,C00280,Credit,Expired
CR00747,C02943,Debit,Active
CR00748,C03780,Credit,Active
CR00749,C00800,Credit,Blocked
CR00750,C02537,Debit,Expired
CR00751,C04518,Credit,Blocked
CR00752,C03095,Debit,Blocked
CR00753,C00704,Credit,Blocked
CR00754,C04371,Debit,Expired
CR00755,C04709,Debit,Active
CR00756,C03002,Debit,Expired
CR00757,C04217,Debit,Blocked
CR00758,C04159,Credit,Expired
CR00759,C00661,Credit,Active
CR00760,C01662,Credit,Expired
CR00761,C01182,Debit,Expired
CR00762,C00656,Debit,Active
CR00763,C03718,Debit,Blocked
CR00764,C00177,Debit,Active
CR00765,C01875,Debit,Expired
CR00766,C03170,Debit,Active
CR00767,C01885,Debit,Active
CR00768,C03274,Credit,Blocked
CR00769,C00315,Credit,Blocked
CR00770,C01797,Credit,Active
CR00771,C03979,Debit,Expired
CR00772,C04378,Debit,Active
CR00773,C04658,Credit,Active
CR00774,C03266,Debit,Blocked
CR00775,C04345,Debit,Active
CR00776,C01753,Credit,Active
CR00777,C04943,Credit,Expired
CR00778,C04750,Credit,Expired
CR00779,C01996,Debit,Blocked
CR00780,C02295,Credit,Blocked
CR00781,C00466,Credit,Active
CR00782,C02879,Debit,Expired
CR00783,C04067,Debit,Active
CR00784,C04637,Debit,Expired
CR00785,C00703,Debit,Blocked
CR00786,C01703,Debit,Expired
CR00787,C03068,Debit,Active
CR00788,C00954,Debit,Active
CR00789,C01637,Debit,Active
CR00790,C02663,Debit,Expired
CR00791,C00793,Debit,Active
CR00792,C04361,Credit,Active
CR00793,C04690,Debit,Blocked
CR00794,C02889,Debit,Blocked
CR00795,C03555,Credit,Expired
CR00796,C01281,Debit,Blocked
CR00797,C00812,Credit,Active
CR00798,C03744,Credit,Active
CR00799,C02097,Credit,Blocked
CR00800,C01752,Debit,Blocked
CR00801,C04970,Credit,Blocked
CR00802,C03600,Debit,Active
CR00803,C01384,Debit,Expired
CR00804,C03232,Credit,Active
CR00805,C01887,Debit,Active
CR00806,C00376,Debit,Blocked
CR00807,C04146,Debit,Expired
CR00808,C02726,Debit,Expired
CR00809,C01718,Credit,Active
CR00810,C02217,Credit,Active
CR00811,C02156,Credit,Expired
CR00812,C02302,Credit,Expired
CR00813,C01734,Debit,Blocked
CR00814,C00975,Credit,Blocked
CR00815,C02069,Debit,Expired
CR00816,C02566,Credit,Blocked
CR00817,C01722,Credit,Expired
CR00818,C04513,Credit,Blocked
CR00819,C04393,Debit,Blocked
CR00820,C04332,Debit,Blocked
CR00821,C03950,Debit,Expired
CR00822,C00447,Debit,Expired
