AccountID,CustomerID,AccountType,Balance
A00116,C01300,Savings,480764
A00117,C03098,Savings,68524
A00118,C04363,Current,755376
A00119,C04387,Savings,939812
A00120,C02040,Current,777658
A00121,C04695,Savings,790198
A00122,C02296,Current,625608
A00123,C04667,Savings,864000
A00124,C00834,Savings,627266
A00125,C00271,Savings,851939
A00126,C02034,Savings,244115
A00127,C03852,Savings,284429
A00128,C00778,Current,142646
A00129,C02163,Savings,175521
A00130,C02849,Current,649176
A00131,C03538,Current,84484
A00132,C02104,Savings,923228
A00133,C00683,Current,774636
A00134,C01441,Current,92745
A00135,C04970,Savings,127031
A00136,C04736,Current,18314
A00137,C01022,Savings,501290
A00138,C03391,Savings,606341
A00139,C04329,Current,796353
A00140,C01023,Savings,227412
A00141,C00526,Savings,397498
A00142,C05000,Savings,681017
A00143,C04287,Savings,430719
A00144,C04554,Current,435773
A00145,C01996,Savings,410432
A00146,C03305,Current,606638
A00147,C01116,Savings,294392
A00148,C00244,Current,652967
A00149,C02848,Savings,541498
A00150,C00935,Current,647017
A00151,C01659,Savings,813523
A00152,C01802,Current,549408
A00153,C01700,Current,945213
A00154,C04459,Current,627619
A00155,C03848,Current,874734
A00156,C00070,Current,652314
A00157,C00804,Current,476401
A00158,C04906,Current,644853
A00159,C02912,Current,77942
A00160,C00490,Savings,561617
A00161,C04089,Current,382719
A00162,C03864,Current,792886
A00163,C04190,Savings,269366
A00164,C00207,Current,567809
A00165,C03049,Current,759281
A00166,C01896,Current,957005
A00167,C02060,Savings,864372
A00168,C01358,Current,783635
A00169,C03258,Current,560268
A00170,C04756,Current,810336
A00171,C03506,Savings,944748
A00172,C00334,Current,672277
A00173,C01102,Current,748409
A00174,C04955,Current,703148
A00175,C04985,Savings,870973
A00176,C00211,Savings,930863
A00177,C03395,Savings,260739
A00178,C03360,Savings,508038
A00179,C01318,Savings,239594
A00180,C00719,Current,549279
A00181,C04939,Savings,381671
A00182,C03486,Savings,972356
A00183,C04203,Current,299104
A00184,C04627,Savings,676015
A00185,C03292,Current,23732
A00186,C04389,Savings,690379
A00187,C00708,Current,351010
A00188,C02156,Savings,52774
A00189,C04198,Savings,308281
A00190,C00495,Current,112090
A00191,C00406,Current,237133
A00192,C04232,Current,96770
A00193,C02194,Current,850010
A00194,C04445,Savings,741442
A00195,C01100,Current,159316
A00196,C00667,Current,587316
A00197,C00568,Current,250150
A00198,C00713,Current,932225
A00199,C00024,Current,366039
A00200,C04214,Current,688212
A00201,C04364,Current,397422
A00202,C03866,Current,282039
A00203,C00202,Savings,235110
A00204,C00567,Savings,514718
A00205,C04452,Current,443023
A00206,C03773,Savings,155222
A00207,C03309,Current,478571
A00208,C03072,Savings,164168
A00209,C04007,Current,472557
A00210,C03313,Current,471798
A00211,C01447,Current,149246
A00212,C00628,Current,216166
A00213,C03247,Savings,836056
A00214,C01646,Savings,464203
A00215,C04282,Current,444605
A00216,C04854,Current,974288
A00217,C02295,Current,321535
A00218,C04686,Savings,710989
A00219,C03639,Current,788644
A00220,C02305,Savings,318742
A00221,C02838,Current,192605
A00222,C04726,Savings,279952
A00223,C04102,Savings,450154
A00224,C01452,Savings,242615
A00225,C04815,Current,726827
A00226,C04476,Current,985259
A00227,C00895,Current,557880
A00228,C01701,Savings,105900
A00229,C02366,Current,50209
A00230,C01477,Savings,839097
A00231,C04932,Current,861314
A00232,C04814,Savings,421479
A00233,C02654,Savings,821341
A00234,C04075,Savings,690364
A00235,C04782,Savings,591205
A00236,C03892,Current,134467
A00237,C01434,Current,226364
A00238,C02463,Savings,208593
A00239,C03956,Current,764954
A00240,C01682,Savings,998426
A00241,C03569,Savings,161010
A00242,C00432,Current,428053
A00243,C00987,Current,242560
A00244,C03595,Savings,757800
A00245,C04440,Current,942131
A00246,C04457,Current,730310
A00247,C02116,Current,449130
A00248,C00136,Current,956151
A00249,C02285,Savings,420852
A00250,C03206,Current,230129
A00251,C03001,Current,22548
A00252,C00123,Savings,668404
A00253,C03365,Current,270840
A00254,C04573,Current,722331
A00255,C02859,Savings,665853
A00256,C03900,Current,408680
A00257,C01178,Savings,911913
A00258,C02158,Savings,736167
A00259,C02947,Savings,64789
A00260,C03131,Current,277622
A00261,C02419,Savings,739530
A00262,C00613,Savings,294705
A00263,C04921,Savings,221008
A00264,C02377,Current,831591
A00265,C01393,Savings,655327
A00266,C00683,Current,281042
A00267,C04767,Savings,487633
A00268,C02135,Savings,350298
A00269,C00385,Savings,922294
A00270,C00303,Savings,685313
A00271,C04911,Current,507341
A00272,C01368,Savings,818102
A00273,C02780,Current,472285
A00274,C01065,Savings,378617
A00275,C03585,Savings,847484
A00276,C04745,Savings,6961
A00277,C04640,Savings,253403
A00278,C01173,Savings,577875
A00279,C02767,Savings,648039
A00280,C01793,Current,451203
A00281,C01741,Current,279198
A00282,C04982,Savings,553664
A00283,C01872,Current,786248
A00284,C02453,Current,759635
A00285,C00260,Current,549438
A00286,C01050,Savings,258992
A00287,C03148,Savings,811833
A00288,C00879,Current,240447
A00289,C04683,Current,310458
A00290,C00880,Current,853117
A00291,C02788,Current,875622
A00292,C03560,Current,161341
A00293,C01544,Current,305276
A00294,C03655,Current,371370
A00295,C03258,Current,902812
A00296,C03882,Current,740156
A00297,C03879,Savings,312974
A00298,C02322,Current,997144
A00299,C02547,Savings,824462
A00300,C01326,Savings,880538
A00301,C00204,Savings,22957
A00302,C01018,Savings,752477
A00303,C03001,Current,811439
A00304,C04352,Current,171660
A00305,C04479,Current,300957
A00306,C00092,Current,684781
A00307,C03710,Current,314208
A00308,C03261,Savings,210568
A00309,C04311,Savings,164835
A00310,C03255,Savings,3154
A00311,C03978,Savings,587836
A00312,C03570,Current,693784
A00313,C00931,Current,394947
A00314,C00113,Savings,693509
A00315,C03295,Current,845036
A00316,C00211,Current,702120
A00317,C01424,Current,80276
A00318,C00169,Savings,585543
A00319,C03861,Current,974731
A00320,C00044,Savings,382017
A00321,C03463,Savings,447034
A00322,C01008,Current,390800
A00323,C04919,Savings,677373
A00324,C00690,Current,238192
A00325,C01643,Current,280479
A00326,C01452,Current,340628
A00327,C04434,Current,398513
A00328,C01039,Current,703577
A00329,C01610,Current,527547
A00330,C01750,Current,310524
A00331,C04695,Current,115725
A00332,C04115,Current,382534
A00333,C02385,Current,805334
A00334,C00220,Savings,726820
A00335,C03700,Current,845527
A00336,C03019,Savings,893092
A00337,C00925,Current,522754
A00338,C01804,Current,181462
A00339,C01926,Current,371912
A00340,C04992,Savings,329662
A00341,C01503,Savings,780230
A00342,C02823,Savings,785865
A00343,C01257,Current,407430
A00344,C02302,Savings,874926
A00345,C00673,Savings,266650
A00346,C01837,Current,81202
A00347,C03819,Savings,880449
A00348,C02933,Current,362700
A00349,C02292,Current,272077
A00350,C01096,Current,972216
A00351,C04931,Savings,691887
A00352,C02229,Savings,436203
A00353,C04100,Savings,801412
A00354,C02124,Savings,530884
A00355,C02007,Savings,378127
A00356,C00285,Current,668614
A00357,C04569,Savings,508589
A00358,C00823,Savings,134265
A00359,C04009,Savings,362536
A00360,C02743,Current,890001
A00361,C01025,Savings,82385
A00362,C00561,Savings,128306
A00363,C00697,Current,841930
A00364,C03111,Savings,783677
A00365,C02844,Savings,99865
A00366,C01702,Savings,457339
A00367,C01181,Current,492188
A00368,C02434,Savings,709781
A00369,C02042,Current,119734
A00370,C00430,Current,555456
A00371,C02996,Savings,994650
A00372,C01077,Current,429567
A00373,C00441,Current,762683
A00374,C01790,Savings,650256
A00375,C01172,Savings,649112
A00376,C04582,Current,501657
A00377,C04951,Savings,597126
A00378,C00344,Current,505097
A00379,C01998,Savings,258145
A00380,C01539,Current,697492
A00381,C00666,Savings,303459
A00382,C00729,Savings,383927
A00383,C02942,Savings,51229
A00384,C00759,Current,651181
A00385,C01608,Savings,735787
A00386,C04920,Savings,908832
A00387,C00088,Current,907511
A00388,C02382,Current,935906
A00389,C01737,Savings,521568
A00390,C01539,Current,952779
A00391,C00272,Current,722103
A00392,C01960,Savings,183331
A00393,C00684,Savings,63232
A00394,C01798,Current,154656
A00395,C03883,Current,894629
A00396,C03764,Current,300807
A00397,C03014,Current,53990
A00398,C02418,Current,98264
A00399,C01508,Savings,992550
A00400,C03170,Savings,739084
A00401,C00475,Savings,57460
A00402,C04251,Savings,696949
A00403,C00116,Savings,262265
A00404,C01486,Savings,774800
A00405,C02534,Savings,538353
A00406,C04546,Current,897491
A00407,C01661,Current,646008
A00408,C04964,Current,143151
A00409,C03531,Savings,630169
A00410,C01526,Current,747105
A00411,C03101,Savings,942374
A00412,C02757,Savings,658625
A00413,C04665,Savings,511456
A00414,C00928,Current,41563
A00415,C03312,Savings,144982
A00416,C04602,Savings,974006
A00417,C01524,Current,716157
A00418,C01386,Savings,566638
A00419,C00091,Current,373423
A00420,C00856,Current,971889
A00421,C01220,Savings,102132
A00422,C02584,Savings,420801
A00423,C03696,Current,867943
A00424,C04033,Savings,268527
A00425,C01565,Savings,233334
A00426,C03727,Savings,359795
A00427,C01596,Current,488947
A00428,C04053,Current,343631
A00429,C04555,Savings,574093
A00430,C04266,Savings,660192
A00431,C02300,Current,988853
A00432,C00686,Savings,47555
A00433,C02850,Current,474740
A00434,C02924,Current,912655
A00435,C00023,Current,588484
A00436,C03176,Current,905452
A00437,C03199,Savings,232287
A00438,C00731,Savings,582477
A00439,C02642,Current,806734
A00440,C02993,Savings,334268
A00441,C01493,Savings,618149
A00442,C00269,Savings,507847
A00443,C03429,Savings,766556
A00444,C00154,Savings,960419
A00445,C01703,Current,305292
A00446,C00338,Current,532336
A00447,C03360,Savings,749382
A00448,C01790,Current,693278
A00449,C01571,Current,64186
A00450,C03201,Current,353462
A00451,C03220,Current,371433
A00452,C03566,Savings,233678
A00453,C03886,Current,710357
A00454,C02696,Savings,583865
A00455,C01507,Current,125967
A00456,C02469,Savings,287338
A00457,C00730,Current,249473
A00458,C00741,Savings,81356
A00459,C01639,Savings,91624
A00460,C03617,Savings,997236
A00461,C00294,Savings,868473
A00462,C01675,Current,863594
A00463,C02195,Current,464523
A00464,C02386,Current,865954
A00465,C04453,Current,318845
A00466,C04630,Current,483003
A00467,C03807,Savings,532282
A00468,C01937,Current,797999
A00469,C04073,Savings,549399
A00470,C00845,Savings,182159
A00471,C02139,Savings,696883
A00472,C04290,Savings,439158
A00473,C02647,Savings,764418
A00474,C04539,Savings,829004
A00475,C03908,Current,615390
A00476,C04850,Current,38259
A00477,C04193,Current,909209
A00478,C01642,Savings,560337
A00479,C01865,Current,768622
A00480,C02192,Current,66543
A00481,C00821,Current,25862
A00482,C02560,Savings,175537
A00483,C01749,Savings,533804
A00484,C02627,Current,231857
A00485,C01841,Current,750076
A00486,C02327,Current,133253
A00487,C03981,Current,894426
A00488,C00647,Current,838917
A00489,C03275,Savings,388577
A00490,C01016,Current,701179
A00491,C04572,Savings,225314
A00492,C01628,Current,260787
A00493,C01528,Savings,975152
A00494,C04438,Savings,294366
A00495,C00154,Savings,545955
A00496,C03142,Current,689186
A00497,C00238,Current,143408
A00498,C00027,Savings,222060
A00499,C04359,Savings,783574
A00500,C01664,Savings,441885
A00501,C03672,Current,125512
A00502,C04407,Current,871332
A00503,C04747,Current,321280
A00504,C04502,Current,445610
A00505,C00589,Current,416670
A00506,C00346,Current,262758
A00507,C00529,Savings,307686
A00508,C01568,Savings,399041
A00509,C01124,Savings,834087
A00510,C02228,Savings,847403
A00511,C04550,Savings,653683
A00512,C04204,Savings,954472
A00513,C00802,Current,624843
A00514,C01982,Current,799703
A00515,C00323,Savings,847724
A00516,C01536,Current,576255
A00517,C01642,Current,367052
A00518,C01633,Savings,495347
A00519,C00415,Current,494800
A00520,C00906,Current,646091
A00521,C04345,Savings,448611
A00522,C00995,Savings,385899
A00523,C02672,Savings,845095
A00524,C00228,Savings,427487
A00525,C01193,Current,648456
A00526,C02676,Savings,431906
A00527,C01706,Current,936046
A00528,C04102,Current,941185
A00529,C00646,Current,843020
A00530,C02475,Savings,464392
A00531,C03998,Current,229886
A00532,C00982,Savings,403989
A00533,C02682,Current,714259
A00534,C01357,Current,469412
A00535,C00691,Current,408126
A00536,C03636,Savings,233019
A00537,C03578,Current,480385
A00538,C01732,Savings,292267
A00539,C03659,Savings,591599
A00540,C02002,Savings,905526
A00541,C00925,Savings,934747
A00542,C01512,Current,652567
A00543,C03875,Current,963544
A00544,C01419,Savings,257388
A00545,C00357,Current,558776
A00546,C04038,Savings,663747
A00547,C00694,Savings,179149
A00548,C04127,Current,967183
A00549,C04598,Savings,586989
A00550,C01722,Savings,6042
A00551,C00721,Savings,267983
A00552,C01308,Savings,742332
A00553,C01456,Savings,962590
A00554,C00446,Savings,277893
A00555,C01086,Current,251588
A00556,C01910,Savings,793967
A00557,C00564,Current,408885
A00558,C01370,Current,144527
A00559,C03706,Savings,457023
A00560,C03358,Current,848429
A00561,C01516,Current,840219
A00562,C04091,Savings,326045
A00563,C03810,Current,474708
A00564,C02310,Current,33846
A00565,C00657,Current,886205
A00566,C00621,Savings,776407
A00567,C04495,Current,937034
A00568,C04331,Savings,448765
A00569,C03137,Current,93630
A00570,C00315,Current,660662
A00571,C02365,Current,833371
A00572,C02010,Savings,289078
A00573,C02173,Current,274732
A00574,C01983,Savings,220086
A00575,C01007,Current,332331
A00576,C00218,Savings,817736
A00577,C02941,Savings,23990
A00578,C00584,Savings,401479
A00579,C02379,Savings,45619
A00580,C02516,Savings,983683
A00581,C01812,Current,449090
A00582,C03015,Savings,127821
A00583,C00705,Savings,514003
A00584,C00896,Savings,189807
A00585,C03992,Current,679949
A00586,C01725,Current,626217
A00587,C00473,Current,185803
A00588,C03851,Current,52615
A00589,C03976,Savings,92380
A00590,C04247,Current,581334
A00591,C04789,Current,785375
A00592,C03849,Savings,347322
A00593,C03782,Savings,322771
A00594,C00095,Current,603301
A00595,C01449,Current,568318
A00596,C00803,Savings,216973
A00597,C02401,Current,754917
A00598,C00862,Current,684276
A00599,C01539,Current,627195
A00600,C03678,Current,249892
A00601,C00803,Current,644138
A00602,C03751,Savings,600115
A00603,C00186,Savings,524702
A00604,C01229,Savings,40651
A00605,C03285,Current,220444
A00606,C04199,Current,874379
A00607,C01303,Current,390644
A00608,C01052,Current,800637
A00609,C02545,Current,238486
A00610,C03772,Savings,161326
A00611,C00256,Current,241288
A00612,C00729,Savings,423782
A00613,C04295,Current,438990
A00614,C02648,Current,236489
A00615,C02017,Savings,259968
A00616,C04513,Current,211251
A00617,C01923,Savings,295249
A00618,C03482,Current,725902
A00619,C02114,Savings,333392
A00620,C00257,Current,481630
A00621,C04683,Current,187137
A00622,C01470,Savings,872601
A00623,C00589,Current,311734
A00624,C00662,Current,640394
A00625,C01742,Current,613866
A00626,C00289,Savings,832696
A00627,C04088,Savings,372193
A00628,C02224,Savings,470402
A00629,C02635,Savings,203390
A00630,C00825,Current,619717
A00631,C01838,Current,68607
A00632,C03586,Current,300489
A00633,C03917,Savings,929711
A00634,C00373,Savings,146478
A00635,C02430,Current,529423
A00636,C04200,Current,955973
A00637,C00361,Current,608842
A00638,C01780,Savings,159812
A00639,C00830,Savings,772546
A00640,C02363,Current,151184
A00641,C03936,Savings,69135
A00642,C00945,Savings,888949
A00643,C04727,Savings,866209
A00644,C00548,Savings,681847
A00645,C03663,Current,782376
A00646,C02033,Savings,615316
A00647,C00963,Savings,134423
A00648,C01022,Current,578533
A00649,C03978,Savings,759739
A00650,C03451,Savings,763979
A00651,C01363,Savings,103539
A00652,C00650,Savings,319667
A00653,C00075,Current,74177
A00654,C03487,Savings,438857
A00655,C00255,Current,528471
A00656,C04518,Savings,304694
A00657,C03698,Savings,227575
A00658,C01539,Savings,13457
A00659,C02607,Current,688749
A00660,C03643,Current,1581
A00661,C02564,Current,462494
A00662,C01335,Current,735757
A00663,C01426,Current,772544
A00664,C04314,Current,32709
A00665,C01300,Savings,768877
A00666,C04035,Current,292093
A00667,C02635,Savings,149443
A00668,C03904,Current,349973
A00669,C02578,Current,617273
A00670,C01249,Current,947041
A00671,C02630,Savings,632308
A00672,C04023,Savings,677448
A00673,C04562,Savings,337149
A00674,C00021,Current,188584
A00675,C00026,Current,93829
A00676,C03042,Savings,901224
A00677,C04611,Savings,260888
A00678,C01393,Current,783152
A00679,C01378,Savings,518558
A00680,C00132,Savings,847810
A00681,C03482,Current,471743
A00682,C02036,Savings,102882
A00683,C03242,Savings,352651
A00684,C00121,Current,901789
A00685,C03181,Current,728221
A00686,C01272,Savings,890567
A00687,C04392,Savings,746538
A00688,C03897,Current,316684
A00689,C00731,Current,105591
A00690,C00946,Savings,669361
A00691,C00615,Current,326214
A00692,C04417,Savings,510123
A00693,C02885,Savings,854976
A00694,C01420,Current,622294
A00695,C00921,Current,334666
A00696,C00857,Savings,551388
A00697,C03916,Savings,381430
A00698,C04150,Current,948478
A00699,C03845,Current,330729
A00700,C03890,Current,933745
A00701,C02578,Current,254354
A00702,C02771,Current,990472
A00703,C04963,Current,518983
A00704,C04386,Savings,337163
A00705,C04969,Savings,200000
A00706,C03420,Savings,740761
A00707,C01667,Savings,1789
A00708,C00127,Savings,486948
A00709,C03403,Current,946724
A00710,C03182,Current,1668
A00711,C02386,Current,623180
A00712,C01753,Current,643337
A00713,C03313,Current,290495
A00714,C04109,Savings,855784
A00715,C02079,Current,687533
A00716,C03025,Current,983364
A00717,C01737,Savings,234981
A00718,C00043,Current,523716
A00719,C02423,Savings,181240
A00720,C04535,Current,313788
A00721,C00671,Current,214104
A00722,C01056,Current,800094
A00723,C02893,Current,626065
A00724,C01002,Savings,414479
A00725,C01179,Current,815935
A00726,C04649,Savings,356613
A00727,C03294,Current,182235
A00728,C02093,Current,954601
A00729,C04712,Current,515799
A00730,C04503,Savings,551591
A00731,C02646,Savings,793872
A00732,C00995,Current,226231
A00733,C02075,Current,225642
A00734,C03116,Current,370729
A00735,C04211,Current,643764
A00736,C03390,Savings,91293
A00737,C03456,Savings,482489
A00738,C02351,Savings,190958
A00739,C01864,Savings,837139
A00740,C02643,Savings,587702
A00741,C04223,Current,833032
A00742,C00519,Current,503447
A00743,C01927,Savings,209739
A00744,C02169,Current,149764
A00745,C01520,Current,646083
A00746,C01776,Current,546018
A00747,C03782,Current,654512
A00748,C02253,Savings,36087
A00749,C04802,Current,841855
A00750,C02740,Current,843005
A00751,C01397,Savings,361320
A00752,C04861,Savings,208389
A00753,C02077,Savings,410950
A00754,C00743,Current,266071
A00755,C01985,Savings,62496
A00756,C04505,Savings,165759
A00757,C00505,Current,405068
A00758,C00826,Savings,560338
A00759,C03215,Savings,716766
A00760,C01685,Savings,540619
A00761,C02717,Savings,203993
A00762,C01873,Current,524102
A00763,C04566,Savings,934415
A00764,C00444,Current,625728
A00765,C01249,Savings,829040
A00766,C00694,Savings,309366
A00767,C04556,Savings,137090
A00768,C04059,Current,269951
A00769,C01116,Savings,655582
A00770,C00618,Current,118258
A00771,C04560,Current,97425
A00772,C04678,Savings,999611
A00773,C02947,Savings,900758
A00774,C01060,Current,50441
A00775,C03634,Current,112773
A00776,C03127,Current,985486
A00777,C04378,Current,485689
A00778,C03601,Savings,84091
A00779,C02217,Savings,153987
A00780,C00391,Current,823461
A00781,C02014,Savings,416690
A00782,C00315,Savings,429575
A00783,C00413,Current,510823
A00784,C01418,Savings,878924
A00785,C00032,Current,105944
A00786,C04914,Current,51923
A00787,C01917,Savings,72596
A00788,C00111,Savings,413965
A00789,C00739,Savings,819829
A00790,C01666,Savings,942144
A00791,C02085,Current,377879
A00792,C03718,Savings,432118
A00793,C01887,Savings,277492
A00794,C04941,Current,729205
A00795,C00440,Current,345496
A00796,C02704,Savings,73578
A00797,C04606,Current,517264
A00798,C00556,Current,95010
A00799,C04959,Current,247568
A00800,C04986,Savings,551445
A00801,C03442,Current,724106
A00802,C01615,Current,784668
A00803,C00481,Current,339045
A00804,C02567,Savings,385179
A00805,C02365,Savings,96396
A00806,C03184,Savings,513346
A00807,C01251,Savings,459443
A00808,C00073,Savings,71533
A00809,C01135,Savings,483241
A00810,C00034,Savings,163003
A00811,C00375,Current,771554
A00812,C02815,Current,109304
A00813,C04999,Current,758774
A00814,C04607,Savings,260741
A00815,C04372,Current,726028
A00816,C01474,Current,855033
A00817,C00622,Savings,419028
A00818,C01166,Current,63318
A00819,C01769,Savings,470041
A00820,C00719,Savings,242054
A00821,C02847,Savings,825311
A00822,C02853,Savings,710242
A00823,C03495,Savings,928791
A00824,C02753,Current,206777
A00825,C04727,Current,566516
A00826,C04063,Current,725580
A00827,C00447,Current,727942
A00828,C03211,Savings,153484
A00829,C03688,Current,576746
A00830,C00164,Savings,629112
A00831,C04646,Savings,406969
A00832,C01064,Current,872517
A00833,C00110,Current,364087
A00834,C02816,Savings,954390
A00835,C03732,Current,956011
A00836,C04663,Current,84922
A00837,C00166,Current,452786
A00838,C04788,Savings,812827
A00839,C04486,Savings,190539
A00840,C02058,Current,387694
A00841,C03833,Current,802760
A00842,C02923,Current,929700
A00843,C00003,Savings,440392
A00844,C00786,Savings,577949
A00845,C01140,Savings,152551
A00846,C00091,Savings,501641
A00847,C04857,Savings,633679
A00848,C03640,Savings,856726
A00849,C01263,Savings,520983
A00850,C01020,Savings,761908
A00851,C00819,Savings,620895
A00852,C02454,Current,158029
A00853,C01834,Current,428168
A00854,C03041,Current,158457
A00855,C01280,Savings,99430
A00856,C00451,Savings,323762
A00857,C02402,Current,471183
A00858,C00326,Savings,945506
A00859,C00311,Current,148739
A00860,C02982,Savings,713034
A00861,C00674,Savings,654966
A00862,C03361,Current,957104
A00863,C03943,Savings,319127
A00864,C00062,Current,155432
A00865,C03234,Savings,623103
A00866,C00847,Savings,803173
A00867,C00389,Current,670320
A00868,C02900,Current,661733
A00869,C01218,Current,46880
A00870,C00851,Current,800029
A00871,C00803,Current,73677
A00872,C02962,Savings,188701
A00873,C01857,Current,489214
A00874,C04158,Current,773871
A00875,C03109,Savings,337559
A00876,C04673,Savings,792764
A00877,C04093,Current,842365
A00878,C02741,Current,826776
A00879,C02108,Current,878585
A00880,C01704,Current,357272
A00881,C00963,Current,665992
A00882,C01238,Current,18641
A00883,C01798,Current,978664
A00884,C00325,Current,489913
A00885,C01632,Savings,372603
A00886,C03503,Current,782923
A00887,C01858,Current,412594
A00888,C01042,Savings,160933
A00889,C02486,Savings,713989
A00890,C01194,Savings,594881
A00891,C03924,Savings,980721
A00892,C02898,Current,838603
A00893,C03611,Current,829433
A00894,C04643,Current,801416
A00895,C01995,Current,866123
A00896,C00336,Current,711775
A00897,C01474,Current,455407
A00898,C02957,Savings,996795
A00899,C00093,Current,373201
A00900,C01515,Savings,539342
A00901,C04608,Current,780674
A00902,C00256,Savings,342802
A00903,C03250,Savings,285335
A00904,C03726,Current,473303
A00905,C01212,Current,903324
A00906,C00878,Current,709265
A00907,C01089,Current,149408
A00908,C04634,Savings,905749
A00909,C02797,Current,295003
A00910,C01182,Savings,702620
A00911,C00900,Savings,741461
A00912,C02633,Current,848177
A00913,C01094,Current,782600
A00914,C04391,Savings,554858
A00915,C00853,Current,595077
A00916,C01151,Current,516452
A00917,C03578,Savings,835974
A00918,C00170,Savings,276060
A00919,C02661,Savings,447995
A00920,C00055,Current,774759
A00921,C03839,Current,49020
A00922,C00310,Current,280514
A00923,C01452,Savings,39910
A00924,C02172,Savings,938965
A00925,C03015,Current,931432
A00926,C00318,Current,41198
A00927,C03058,Savings,718965
A00928,C03750,Savings,945800
A00929,C03398,Savings,159312
A00930,C04610,Current,962737
A00931,C02529,Current,999203
A00932,C04351,Savings,656193
A00933,C01799,Savings,722870
A00934,C00790,Savings,676298
A00935,C00787,Savings,109940
A00936,C02807,Current,973683
A00937,C04716,Current,817889
A00938,C03600,Current,846815
A00939,C04423,Current,348887
A00940,C04539,Savings,45579
A00941,C03332,Savings,383294
A00942,C00924,Savings,454339
A00943,C03349,Savings,680305
A00944,C00374,Current,524607
A00945,C02346,Savings,385738
A00946,C01872,Savings,176206
A00947,C00700,Savings,919244
A00948,C00729,Savings,460630
A00949,C04280,Current,660087
A00950,C02154,Current,637502
A00951,C02636,Current,748143
A00952,C03819,Savings,297918
A00953,C00613,Savings,508168
A00954,C00417,Savings,446059
A00955,C03496,Current,690847
A00956,C01500,Current,23191
A00957,C01006,Current,959834
A00958,C03186,Current,113005
A00959,C02243,Current,589994
A00960,C03808,Current,673983
A00961,C02038,Current,356673
A00962,C03734,Savings,701956
A00963,C01689,Current,613703
A00964,C01440,Current,790765
