TransactionID,AccountID,Amount,Type,Channel,Date
T000113,A03250,179883,Transfer,Branch,2025-05-18
T000114,A04945,65552,Online,Mobile,2025-09-24
T000115,A02797,52263,Transfer,ATM,2025-01-08
T000116,A09418,117236,Online,Web,2025-01-14
T000117,A04483,149939,Online,Web,2025-11-26
T000118,A02951,4546,Online,ATM,2025-02-22
T000119,A04016,115643,ATM,ATM,2025-05-24
T000120,A08442,90385,Online,ATM,2025-09-04
T000121,A05805,58560,Online,ATM,2026-02-12
T000122,A01462,92753,Transfer,Branch,2025-12-15
T000123,A08704,170433,Online,Mobile,2025-02-22
T000124,A01499,196537,ATM,Mobile,2025-08-11
T000125,A02183,123161,POS,Web,2025-06-05
T000126,A04218,125232,POS,Web,2025-04-11
T000127,A06042,64727,ATM,Web,2026-01-20
T000128,A07800,134826,Transfer,Mobile,2025-07-09
T000129,A01033,72082,Transfer,Branch,2025-01-02
T000130,A06789,158060,Transfer,Branch,2025-09-05
T000131,A08131,179524,Online,Web,2025-03-16
T000132,A07245,192045,POS,Branch,2026-02-03
T000133,A04689,187699,ATM,ATM,2025-04-19
T000134,A07251,71063,POS,ATM,2025-01-18
T000135,A00835,189977,Transfer,ATM,2026-01-11
T000136,A05729,48455,ATM,Branch,2025-05-09
T000137,A09712,74430,ATM,Mobile,2025-10-09
T000138,A04200,129212,Transfer,ATM,2025-08-25
T000139,A06645,146184,ATM,Branch,2025-12-25
T000140,A00399,40827,Transfer,Branch,2025-04-29
T000141,A00913,13176,Transfer,Branch,2025-11-07
T000142,A07105,131348,POS,Branch,2025-09-27
T000143,A03894,39257,POS,Mobile,2025-04-23
T000144,A02811,181674,Transfer,ATM,2025-06-14
T000145,A04977,18435,Online,Mobile,2025-05-16
T000146,A08105,150892,POS,ATM,2025-11-13
T000147,A01601,177274,ATM,Mobile,2026-01-09
T000148,A06002,149111,Transfer,Web,2025-12-02
T000149,A01243,103022,Online,ATM,2025-11-12
T000150,A03281,91342,Online,Web,2026-02-15
T000151,A05477,34782,ATM,Mobile,2025-03-14
T000152,A01771,116079,POS,Branch,2026-03-22
T000153,A00753,128033,Online,Mobile,2025-06-20
T000154,A09312,148330,POS,Mobile,2025-03-03
T000155,A06181,131017,Online,ATM,2025-11-04
T000156,A03869,50215,Online,Branch,2026-04-19
T000157,A09347,163426,Transfer,ATM,2025-01-14
T000158,A02507,190867,Transfer,Branch,2026-04-22
T000159,A08811,143400,Transfer,Web,2026-01-09
T000160,A01731,179921,Transfer,Web,2025-05-03
T000161,A06012,166289,Online,ATM,2025-02-17
T000162,A00410,137975,POS,Web,2025-05-21
T000163,A05593,184913,ATM,Branch,2025-05-01
T000164,A07555,167946,ATM,Web,2025-02-26
T000165,A07006,165513,Online,Mobile,2025-11-04
T000166,A09648,160360,Transfer,Branch,2025-08-24
T000167,A04888,154335,Online,Web,2025-03-21
T000168,A05247,161904,Transfer,Branch,2025-11-14
T000169,A01517,52698,Transfer,Mobile,2025-03-07
T000170,A08057,177125,Transfer,Mobile,2026-01-05
T000171,A08840,18094,POS,Branch,2026-01-25
T000172,A07972,173603,POS,Mobile,2025-05-11
T000173,A07621,52671,Transfer,Web,2025-02-24
T000174,A02352,116431,Transfer,ATM,2026-01-04
T000175,A01155,143885,ATM,ATM,2025-11-12
T000176,A00651,127529,Online,ATM,2026-01-26
T000177,A06286,133749,Online,Branch,2025-08-26
T000178,A06494,163929,Transfer,ATM,2025-10-29
T000179,A09535,67693,POS,ATM,2025-03-26
T000180,A06085,65098,Transfer,ATM,2025-11-15
T000181,A06301,6153,Online,ATM,2026-04-24
T000182,A04643,117041,POS,Web,2026-01-31
T000183,A09286,145697,POS,Mobile,2025-06-05
T000184,A09906,193875,POS,Mobile,2025-11-30
T000185,A09042,21033,Online,Branch,2025-05-18
T000186,A00744,2200,ATM,ATM,2025-12-22
T000187,A01231,125951,Transfer,Branch,2025-05-08
T000188,A03884,175477,Transfer,Branch,2025-02-27
T000189,A01951,83937,POS,Web,2025-08-31
T000190,A02424,9622,ATM,Mobile,2025-09-03
T000191,A05523,16594,ATM,Mobile,2026-03-25
T000192,A04610,118619,Transfer,Branch,2025-05-17
T000193,A09580,151011,ATM,ATM,2025-11-26
T000194,A06882,55037,ATM,Web,2026-05-04
T000195,A05091,146519,Online,Mobile,2025-04-15
T000196,A05391,100156,Online,ATM,2025-01-19
T000197,A03955,177595,Online,Branch,2026-02-08
T000198,A01183,177476,Online,ATM,2026-02-04
T000199,A09104,78361,Transfer,Web,2025-12-28
T000200,A00094,162333,ATM,Mobile,2025-10-04
T000201,A07406,199970,Online,ATM,2025-05-28
T000202,A03571,46228,Online,ATM,2025-03-30
T000203,A09963,106828,POS,Web,2025-12-22
T000204,A09781,73867,Transfer,Branch,2025-08-20
T000205,A03384,48539,Online,ATM,2026-03-31
T000206,A05196,147412,POS,Web,2026-02-15
T000207,A05803,123209,Online,Branch,2025-05-19
T000208,A05030,50404,Transfer,Branch,2025-03-12
T000209,A05719,156431,Transfer,Branch,2026-02-20
T000210,A08400,166315,POS,ATM,2025-01-19
T000211,A09447,187748,Online,ATM,2025-09-20
T000212,A02166,1861,ATM,Web,2025-02-10
T000213,A07412,119161,Transfer,ATM,2025-12-18
T000214,A02264,112954,Online,Mobile,2025-11-09
T000215,A08581,113032,POS,Web,2026-05-12
T000216,A08904,181567,ATM,Mobile,2025-05-03
T000217,A08633,6012,Online,Web,2025-02-11
T000218,A04639,188828,Online,Branch,2025-05-02
T000219,A01646,57995,Online,Web,2025-03-07
T000220,A08551,153501,Online,Branch,2025-09-13
T000221,A01443,199407,ATM,ATM,2025-06-18
T000222,A00023,112791,POS,Mobile,2025-07-07
T000223,A06206,155164,ATM,Branch,2025-06-29
T000224,A08739,119183,Transfer,Web,2025-04-16
T000225,A01025,87372,Transfer,Branch,2026-01-19
T000226,A02638,67595,ATM,ATM,2025-06-23
T000227,A05969,75164,POS,ATM,2026-02-11
T000228,A05641,4546,Transfer,Branch,2025-03-22
T000229,A00946,100341,Transfer,Web,2025-02-08
T000230,A00051,1006,Online,Mobile,2026-05-02
T000231,A06909,151384,Transfer,Mobile,2025-10-05
T000232,A02622,157592,POS,ATM,2025-12-05
T000233,A09402,123652,POS,Branch,2025-01-16
T000234,A01725,50920,Transfer,ATM,2026-05-02
T000235,A05772,108657,POS,Web,2026-02-19
T000236,A03848,153032,Online,Web,2025-06-25
T000237,A05168,28358,POS,Branch,2026-01-23
T000238,A00927,54340,Transfer,Mobile,2025-04-20
T000239,A00171,108274,Transfer,Web,2025-05-26
T000240,A04321,151832,Transfer,Web,2025-05-25
T000241,A00482,113484,Online,Branch,2025-02-10
T000242,A05743,48436,Transfer,Web,2025-11-06
T000243,A02980,77719,POS,Branch,2025-12-08
T000244,A06818,148160,Transfer,Mobile,2025-07-26
T000245,A00787,194402,Online,Mobile,2025-06-06
T000246,A04228,52728,Online,ATM,2025-10-08
T000247,A03914,76305,Transfer,Web,2026-01-07
T000248,A02062,164330,Online,Mobile,2026-04-30
T000249,A07393,60310,ATM,Web,2026-05-01
T000250,A09839,169560,Transfer,Web,2025-03-03
T000251,A08901,108821,POS,Web,2025-04-01
T000252,A08346,2898,ATM,Mobile,2025-02-11
T000253,A05009,194415,Online,Branch,2025-06-04
T000254,A01215,138744,POS,ATM,2025-12-20
T000255,A02483,40678,Transfer,Mobile,2025-11-15
T000256,A00214,76241,POS,Branch,2025-02-06
T000257,A03662,109137,ATM,Branch,2026-04-22
T000258,A03900,63050,Transfer,Mobile,2025-09-04
T000259,A08020,94364,ATM,Web,2025-05-20
T000260,A08774,197203,ATM,ATM,2025-10-12
T000261,A00656,61566,Transfer,Branch,2025-10-23
T000262,A02848,64672,Transfer,Mobile,2026-02-15
T000263,A01305,151027,POS,Branch,2026-01-02
T000264,A04866,31560,ATM,Mobile,2026-02-26
T000265,A02582,116902,Transfer,Mobile,2026-03-10
T000266,A00070,118483,Online,Branch,2025-11-22
T000267,A03804,159881,ATM,Mobile,2025-07-04
T000268,A05310,126511,ATM,Branch,2025-04-11
T000269,A02159,173878,POS,ATM,2026-01-18
T000270,A06544,97865,POS,ATM,2025-11-12
T000271,A09457,84592,ATM,Mobile,2026-05-04
T000272,A07358,94748,Online,Mobile,2025-08-14
T000273,A03885,151949,ATM,Web,2025-11-22
T000274,A08989,77273,Online,Mobile,2025-05-16
T000275,A05151,31918,Online,Mobile,2026-05-15
T000276,A09780,101169,POS,ATM,2025-12-05
T000277,A06173,99527,Transfer,Branch,2026-04-23
T000278,A07338,24079,Transfer,Web,2025-06-29
T000279,A00130,62373,POS,Branch,2026-05-14
T000280,A04054,160869,POS,Web,2025-01-02
T000281,A02696,30286,POS,Mobile,2026-01-13
T000282,A08318,91680,ATM,Web,2025-05-31
T000283,A07758,112342,POS,Mobile,2025-08-25
T000284,A08381,34486,POS,Mobile,2025-10-14
T000285,A07989,101690,Online,Mobile,2025-08-03
T000286,A00307,38159,POS,Web,2025-05-14
T000287,A04126,75082,POS,ATM,2025-12-22
T000288,A02700,171693,POS,Mobile,2025-07-22
T000289,A08180,181100,POS,ATM,2025-10-06
T000290,A03210,62238,Online,Branch,2025-10-28
T000291,A08156,112079,Transfer,Web,2025-01-05
T000292,A04871,151960,Online,ATM,2025-05-06
T000293,A05547,82408,ATM,ATM,2025-03-28
T000294,A06110,61673,ATM,Mobile,2025-02-22
T000295,A02383,38100,Transfer,Web,2025-10-24
T000296,A04574,128891,Transfer,Branch,2025-06-19
T000297,A08741,73329,Transfer,Branch,2025-04-07
T000298,A09735,62772,Transfer,Web,2025-01-09
T000299,A03904,196826,ATM,Web,2025-03-09
T000300,A06695,50535,Transfer,Web,2025-03-17
T000301,A06866,74988,Online,Mobile,2026-05-01
T000302,A03732,138721,ATM,Mobile,2025-03-20
T000303,A06599,50681,POS,Web,2025-09-19
T000304,A02584,30161,Online,Branch,2025-07-29
T000305,A00595,149958,Online,Mobile,2026-05-11
T000306,A06824,67589,Online,Web,2025-08-14
T000307,A04306,15222,Transfer,Mobile,2026-03-05
T000308,A01036,135299,ATM,Web,2026-02-02
T000309,A08259,165509,ATM,Mobile,2025-01-22
T000310,A06560,163540,Transfer,Mobile,2025-12-04
T000311,A09480,110905,Online,Branch,2026-03-12
T000312,A08639,159742,ATM,ATM,2026-03-11
T000313,A02476,9791,ATM,Web,2025-02-12
T000314,A07048,65364,Transfer,Web,2026-04-28
T000315,A08797,1669,Online,Branch,2025-04-11
T000316,A03493,113502,Transfer,Branch,2025-08-19
T000317,A03746,179563,Online,Mobile,2025-04-22
T000318,A00893,104327,ATM,Mobile,2025-02-04
T000319,A03670,128816,Online,ATM,2025-04-29
T000320,A05124,138191,Online,Mobile,2025-10-17
T000321,A03727,152204,Transfer,Mobile,2025-10-16
T000322,A01603,188819,ATM,Web,2025-09-24
T000323,A05119,180601,POS,ATM,2026-02-07
T000324,A09433,113971,Transfer,ATM,2025-07-04
T000325,A06307,191281,ATM,ATM,2026-02-06
T000326,A08124,149387,ATM,Branch,2025-09-20
T000327,A00735,199834,Transfer,Web,2025-07-18
T000328,A00792,106882,Online,ATM,2026-02-02
T000329,A01767,9284,ATM,Branch,2025-07-24
T000330,A03011,24878,POS,Web,2025-03-08
T000331,A08176,177166,Transfer,Web,2026-03-23
T000332,A00447,3679,ATM,Branch,2025-05-27
T000333,A04073,79716,ATM,Mobile,2025-09-15
T000334,A02812,11649,Transfer,Web,2025-08-15
T000335,A00681,66068,Transfer,Mobile,2026-01-24
T000336,A05760,81393,Transfer,Mobile,2025-05-27
T000337,A06262,144721,ATM,Mobile,2025-12-07
T000338,A00602,1281,POS,Branch,2026-01-02
T000339,A00971,78888,POS,Web,2025-02-05
T000340,A00679,67492,POS,Web,2026-03-19
T000341,A06120,112512,POS,Web,2025-02-22
T000342,A02392,59726,Online,ATM,2025-09-25
T000343,A00143,102188,Transfer,Branch,2025-05-18
T000344,A06151,2968,Transfer,ATM,2025-05-01
T000345,A04419,436,POS,Mobile,2025-11-05
T000346,A06052,5869,Transfer,Web,2025-08-23
T000347,A02064,165301,Transfer,Branch,2025-08-13
T000348,A03311,197178,Online,Mobile,2025-07-31
T000349,A06463,27578,POS,ATM,2026-01-16
T000350,A07063,7752,POS,Web,2026-03-29
T000351,A09838,141818,Transfer,ATM,2025-08-04
T000352,A06459,69665,ATM,Web,2026-04-28
T000353,A09275,77228,ATM,Branch,2026-03-05
T000354,A07130,54811,Online,ATM,2025-01-31
T000355,A02379,197340,Online,Mobile,2026-01-29
T000356,A04776,187211,Online,ATM,2025-05-10
T000357,A01505,12922,Online,ATM,2026-02-15
T000358,A07197,24577,ATM,Branch,2025-08-01
T000359,A02719,27026,Online,Branch,2026-01-10
T000360,A05149,82702,ATM,Web,2025-01-09
T000361,A04621,197683,ATM,Mobile,2026-04-04
T000362,A07828,96914,ATM,Mobile,2026-04-08
T000363,A01049,149908,POS,Mobile,2025-09-03
T000364,A04563,117656,Online,ATM,2025-02-05
T000365,A06969,127773,POS,ATM,2025-04-21
T000366,A03022,5364,ATM,Web,2026-03-27
T000367,A08876,111310,Transfer,Branch,2025-06-12
T000368,A03967,103329,ATM,Branch,2025-10-29
T000369,A07552,36751,Transfer,Branch,2026-04-09
T000370,A07092,178181,Transfer,ATM,2025-06-25
T000371,A05590,195261,ATM,Branch,2025-11-22
T000372,A03882,199404,ATM,Branch,2025-10-16
T000373,A04353,138727,ATM,Mobile,2025-01-06
T000374,A05520,198424,ATM,Branch,2025-09-11
T000375,A04847,62332,Transfer,Web,2026-03-10
T000376,A09319,132348,POS,Mobile,2025-08-14
T000377,A04675,70916,Transfer,ATM,2025-07-05
T000378,A08905,123268,POS,Web,2025-06-26
T000379,A04302,17132,ATM,Branch,2026-03-16
T000380,A00120,159822,ATM,Branch,2025-03-08
T000381,A06014,181410,POS,Mobile,2026-01-03
T000382,A03661,67783,Online,ATM,2026-05-13
T000383,A07196,15274,ATM,Web,2026-02-21
T000384,A01126,54131,Transfer,ATM,2025-06-01
T000385,A09260,96124,POS,Branch,2026-01-22
T000386,A01382,57358,POS,Mobile,2025-04-21
T000387,A08186,165142,ATM,Mobile,2025-07-06
T000388,A06013,1579,Transfer,Mobile,2025-10-23
T000389,A07697,10559,Online,Web,2025-07-17
T000390,A09645,124738,Transfer,Mobile,2025-06-11
T000391,A09742,106239,ATM,Web,2026-04-26
T000392,A07112,47787,ATM,ATM,2026-01-28
T000393,A04062,13577,ATM,Mobile,2025-04-22
T000394,A05134,14506,Transfer,ATM,2025-07-23
T000395,A08793,167934,POS,ATM,2025-10-19
T000396,A02744,7637,ATM,Branch,2026-05-09
T000397,A08959,29911,POS,Branch,2025-11-05
T000398,A05373,99306,POS,ATM,2025-12-31
T000399,A07090,70723,Online,ATM,2025-08-12
T000400,A08734,16026,Transfer,Web,2026-04-12
T000401,A09383,100811,Transfer,Web,2026-03-13
T000402,A06401,107291,Transfer,ATM,2025-06-07
T000403,A08061,148208,Transfer,Web,2026-01-02
T000404,A02781,178192,Online,Web,2025-01-29
T000405,A02741,70423,Transfer,Mobile,2025-12-26
T000406,A02229,97590,Online,ATM,2025-11-17
T000407,A03098,155361,Online,ATM,2026-02-12
T000408,A09081,100215,POS,ATM,2025-06-04
T000409,A02925,168755,Online,Mobile,2025-10-03
T000410,A01922,121374,ATM,Branch,2025-02-07
T000411,A07452,163185,Transfer,Branch,2026-05-14
T000412,A02265,90950,ATM,Branch,2025-08-07
T000413,A01156,2666,Online,Branch,2025-01-14
T000414,A03960,180958,ATM,Web,2025-10-25
T000415,A03728,30526,POS,Branch,2025-04-06
T000416,A02772,95413,Online,Web,2025-01-01
T000417,A08063,192479,POS,ATM,2025-10-11
T000418,A02154,177958,Online,ATM,2026-02-13
T000419,A06492,48894,ATM,Mobile,2025-11-05
T000420,A08364,87335,POS,Branch,2025-05-26
T000421,A01110,54650,Online,Mobile,2025-01-29
T000422,A08570,129893,ATM,ATM,2025-12-29
T000423,A08595,117747,ATM,Mobile,2025-07-05
T000424,A06064,22335,Online,Web,2026-04-11
T000425,A02257,71190,Transfer,Mobile,2026-02-21
T000426,A07897,23143,Online,Mobile,2025-03-04
T000427,A03811,99361,Online,Web,2025-03-30
T000428,A08806,17104,ATM,Web,2026-01-20
T000429,A08341,3272,Transfer,Web,2026-01-11
T000430,A05702,21596,ATM,Web,2025-12-10
T000431,A04558,66207,Transfer,ATM,2025-03-31
T000432,A05300,37328,ATM,Web,2025-04-20
T000433,A04288,117167,POS,Web,2025-05-01
T000434,A04161,58189,Online,Web,2025-05-04
T000435,A08951,104349,Transfer,Branch,2025-07-01
T000436,A06626,44351,Transfer,Branch,2025-09-28
T000437,A00199,152051,Online,Web,2025-03-13
T000438,A07671,174213,POS,Mobile,2025-07-22
T000439,A01715,67120,POS,Branch,2025-05-08
T000440,A08650,121104,Online,Web,2026-02-24
T000441,A03497,65030,Transfer,Mobile,2025-03-13
T000442,A01858,147934,Transfer,Mobile,2026-02-14
T000443,A09438,140832,Online,Web,2026-01-13
T000444,A08897,100610,Online,Web,2025-01-26
T000445,A06030,71720,POS,Web,2025-06-14
T000446,A04010,111440,Online,Mobile,2025-07-09
T000447,A03680,197641,Transfer,ATM,2025-10-16
T000448,A09548,3430,Online,Branch,2025-02-25
T000449,A01111,48097,Transfer,Branch,2025-10-12
T000450,A08797,150361,ATM,Mobile,2025-08-10
T000451,A03697,70038,Online,ATM,2025-06-20
T000452,A02031,97499,Transfer,Branch,2025-08-11
T000453,A03638,71438,Online,Branch,2025-08-03
T000454,A02929,103866,Transfer,ATM,2025-12-24
T000455,A06197,82361,Transfer,Branch,2025-08-25
T000456,A02924,108932,ATM,Web,2026-01-30
T000457,A03314,3042,ATM,Mobile,2025-09-08
T000458,A08404,165126,POS,Branch,2025-05-24
T000459,A00550,128871,Transfer,Mobile,2025-05-11
T000460,A05354,163538,POS,Web,2025-12-28
T000461,A03425,14557,POS,Web,2025-09-27
T000462,A07861,144872,Transfer,Mobile,2025-01-16
T000463,A00786,138440,ATM,Branch,2025-06-07
T000464,A09180,118545,Online,ATM,2025-07-11
T000465,A02229,8628,Transfer,Mobile,2026-02-28
T000466,A09926,83894,Online,Mobile,2025-07-14
T000467,A03030,112490,ATM,Mobile,2025-03-29
T000468,A09651,22080,Transfer,Web,2025-03-23
T000469,A07760,35786,ATM,Mobile,2026-05-09
T000470,A01439,178003,POS,Web,2026-03-16
T000471,A00892,90855,POS,Web,2025-09-29
T000472,A04831,167850,ATM,Mobile,2025-01-18
T000473,A07718,180621,Transfer,Mobile,2025-08-11
T000474,A02984,124130,POS,Mobile,2026-03-28
T000475,A09428,174795,ATM,Branch,2025-10-17
T000476,A06585,171360,Transfer,Mobile,2026-04-25
T000477,A09424,177998,ATM,ATM,2026-03-02
T000478,A03214,156459,Transfer,Web,2025-08-22
T000479,A01099,47673,POS,ATM,2025-07-31
T000480,A06969,105561,POS,ATM,2026-03-18
T000481,A02188,145718,Transfer,Mobile,2025-05-31
T000482,A01081,30244,ATM,ATM,2025-08-23
T000483,A06807,128532,ATM,Branch,2025-05-13
T000484,A04246,148380,ATM,ATM,2025-10-18
T000485,A03610,67052,Transfer,Mobile,2026-05-08
T000486,A01511,150043,ATM,Mobile,2025-08-11
T000487,A03261,15937,ATM,Branch,2026-05-06
T000488,A06312,86511,ATM,Branch,2025-12-22
T000489,A06277,172387,ATM,Branch,2026-02-17
T000490,A07760,17942,ATM,Web,2026-04-26
T000491,A02909,7469,Transfer,Branch,2025-07-13
T000492,A03860,78643,ATM,Branch,2025-11-01
T000493,A09257,113215,Transfer,ATM,2025-08-14
T000494,A01250,87554,Online,Mobile,2025-11-01
T000495,A05941,169776,ATM,Branch,2025-07-03
T000496,A03748,153982,POS,Branch,2025-09-09
T000497,A00887,153248,POS,ATM,2026-05-04
T000498,A07152,9182,POS,Web,2025-01-13
T000499,A05526,37088,ATM,ATM,2026-01-16
T000500,A07243,176104,Transfer,Web,2025-03-01
T000501,A00081,53812,Transfer,Web,2026-01-25
T000502,A08800,128560,Transfer,ATM,2025-02-19
T000503,A04233,3195,Online,Mobile,2026-03-14
T000504,A08609,179581,ATM,Web,2025-09-15
T000505,A04849,83944,Transfer,Web,2025-07-22
T000506,A00048,186514,ATM,Branch,2026-03-18
T000507,A04137,164409,POS,Mobile,2026-04-29
T000508,A02279,119567,Transfer,Branch,2025-08-25
T000509,A05594,178769,Transfer,Mobile,2025-05-24
T000510,A03267,75203,Transfer,Mobile,2025-04-02
T000511,A04181,3089,Transfer,Branch,2025-06-05
T000512,A07562,48482,POS,Mobile,2025-08-05
T000513,A01278,130240,Transfer,Mobile,2025-04-11
T000514,A02485,17533,Online,ATM,2025-04-21
T000515,A03485,49890,Transfer,Branch,2025-02-28
T000516,A06206,36030,Transfer,ATM,2025-01-29
T000517,A01022,143205,ATM,Web,2026-05-11
T000518,A03669,191051,POS,ATM,2025-01-16
T000519,A07174,66695,POS,Web,2025-04-21
T000520,A01194,119300,Online,Mobile,2025-04-12
T000521,A03661,49398,ATM,Branch,2025-08-26
T000522,A05508,79400,Transfer,ATM,2026-04-27
T000523,A02748,53631,Online,Branch,2025-10-20
T000524,A07586,160957,POS,Web,2026-01-10
T000525,A02654,86278,Transfer,ATM,2025-10-04
T000526,A05623,54145,POS,ATM,2025-06-23
T000527,A00733,44576,Online,ATM,2025-02-10
T000528,A05837,183189,ATM,ATM,2026-04-14
T000529,A04747,49694,ATM,Mobile,2025-08-15
T000530,A03222,198913,POS,Web,2025-10-03
T000531,A06389,183869,Transfer,Branch,2025-03-19
T000532,A00205,23575,POS,Web,2025-09-21
T000533,A08595,145643,Transfer,Mobile,2025-10-31
T000534,A05292,116418,Transfer,ATM,2025-08-31
T000535,A05858,54031,POS,Web,2025-12-25
T000536,A07016,112370,Transfer,Mobile,2025-06-05
T000537,A03334,59240,Online,Mobile,2025-12-28
T000538,A04151,85316,Online,ATM,2025-01-13
T000539,A00102,129271,ATM,Mobile,2025-03-12
T000540,A02699,122649,POS,Mobile,2025-04-19
