FraudID,TransactionID,FraudType,LossAmount
F00121,T028378,Money Laundering,349358
F00122,T030000,Identity Theft,396616
F00123,T033426,Identity Theft,351335
F00124,T023041,Card Fraud,226074
F00125,T043013,Identity Theft,6028
F00126,T011584,Phishing,491650
F00127,T015535,Identity Theft,368857
F00128,T041109,Card Fraud,293384
F00129,T026289,Money Laundering,19617
F00130,T014439,Phishing,209476
F00131,T010718,Money Laundering,29877
F00132,T038295,Phishing,269887
F00133,T007794,Money Laundering,223562
F00134,T029199,Card Fraud,90606
F00135,T020172,Phishing,62226
F00136,T037636,Money Laundering,380484
F00137,T037034,Phishing,226252
F00138,T025307,Identity Theft,277742
F00139,T001656,Card Fraud,447738
F00140,T040326,Money Laundering,211826
F00141,T044626,Identity Theft,219066
F00142,T013715,Identity Theft,246235
F00143,T045766,Identity Theft,417647
F00144,T028942,Phishing,191358
F00145,T028360,Card Fraud,91158
F00146,T003409,Identity Theft,198392
F00147,T014895,Phishing,417099
F00148,T035909,Card Fraud,357346
F00149,T029547,Identity Theft,347605
F00150,T024718,Phishing,479387
F00151,T017443,Money Laundering,393752
F00152,T039267,Identity Theft,63544
F00153,T012729,Identity Theft,117420
F00154,T042235,Identity Theft,154521
F00155,T008568,Identity Theft,459616
F00156,T026444,Card Fraud,130595
F00157,T005875,Card Fraud,132421
F00158,T001337,Phishing,151689
F00159,T024352,Identity Theft,410966
F00160,T018860,Card Fraud,171546
F00161,T006799,Card Fraud,155295
F00162,T014482,Identity Theft,313485
F00163,T040284,Money Laundering,376195
F00164,T023358,Money Laundering,367758
F00165,T032293,Card Fraud,108295
F00166,T019530,Money Laundering,470751
F00167,T011548,Card Fraud,489793
F00168,T017594,Phishing,155715
F00169,T032461,Phishing,322421
F00170,T002280,Identity Theft,447066
F00171,T012760,Identity Theft,323991
F00172,T021504,Card Fraud,1677
F00173,T043339,Card Fraud,285817
F00174,T044443,Phishing,391657
F00175,T012489,Phishing,362059
F00176,T045051,Phishing,431899
F00177,T027732,Identity Theft,356643
F00178,T041543,Phishing,224937
F00179,T001776,Phishing,466959
F00180,T032924,Identity Theft,471496
F00181,T018848,Money Laundering,323167
F00182,T022825,Card Fraud,77897
F00183,T037563,Card Fraud,103459
F00184,T044865,Money Laundering,122582
F00185,T049437,Phishing,343159
F00186,T012094,Identity Theft,144029
F00187,T026646,Money Laundering,382515
F00188,T041468,Card Fraud,133554
F00189,T017638,Card Fraud,426570
F00190,T037388,Phishing,408194
F00191,T035324,Card Fraud,329215
F00192,T018489,Money Laundering,65682
F00193,T025137,Identity Theft,211332
F00194,T022928,Card Fraud,178478
F00195,T047606,Identity Theft,214537
F00196,T023058,Identity Theft,424802
F00197,T027236,Identity Theft,308209
F00198,T043021,Money Laundering,298555
F00199,T008415,Phishing,294753
F00200,T008594,Money Laundering,43234
F00201,T025876,Money Laundering,42234
F00202,T014492,Money Laundering,181568
F00203,T004402,Identity Theft,11124
F00204,T018248,Card Fraud,371745
F00205,T046613,Money Laundering,188100
F00206,T018325,Phishing,261451
F00207,T042327,Identity Theft,32107
F00208,T012593,Phishing,492488
F00209,T032237,Phishing,192715
F00210,T038565,Identity Theft,61771
F00211,T043996,Identity Theft,161374
F00212,T037201,Money Laundering,347143
F00213,T047924,Phishing,251740
F00214,T025091,Phishing,499702
F00215,T045712,Money Laundering,242806
F00216,T012215,Card Fraud,48276
F00217,T049359,Identity Theft,353346
F00218,T032212,Card Fraud,376786
F00219,T042734,Card Fraud,28555
F00220,T023607,Phishing,485334
F00221,T024987,Identity Theft,169116
F00222,T013706,Phishing,489764
F00223,T036335,Money Laundering,347937
F00224,T037449,Money Laundering,319883
F00225,T019691,Money Laundering,324113
F00226,T020695,Money Laundering,50652
F00227,T033771,Phishing,242955
F00228,T010877,Phishing,459645
F00229,T045869,Card Fraud,336579
F00230,T013581,Phishing,41864
F00231,T039472,Phishing,164143
F00232,T048333,Phishing,450950
F00233,T007858,Phishing,493884
F00234,T040193,Identity Theft,145617
F00235,T043215,Phishing,242808
F00236,T000906,Card Fraud,479464
F00237,T014283,Card Fraud,24412
F00238,T020477,Identity Theft,284675
F00239,T019930,Card Fraud,463380
F00240,T029837,Identity Theft,436990
F00241,T032964,Card Fraud,189307
F00242,T020120,Identity Theft,247430
F00243,T038361,Phishing,167272
F00244,T011692,Phishing,5126
F00245,T022265,Phishing,491961
F00246,T048745,Money Laundering,233006
F00247,T029711,Money Laundering,496639
F00248,T048816,Identity Theft,276734
F00249,T015854,Card Fraud,353507
F00250,T040031,Identity Theft,156146
F00251,T023386,Identity Theft,36214
F00252,T031305,Money Laundering,4645
F00253,T037960,Money Laundering,98961
F00254,T024153,Phishing,382085
F00255,T037770,Money Laundering,224491
F00256,T015831,Phishing,13742
F00257,T033644,Card Fraud,99774
F00258,T014558,Card Fraud,288605
F00259,T009652,Card Fraud,15854
F00260,T039948,Identity Theft,112985
F00261,T011347,Card Fraud,133200
F00262,T042083,Card Fraud,406495
F00263,T009191,Money Laundering,355078
F00264,T021831,Phishing,267512
F00265,T038240,Phishing,499220
F00266,T003831,Phishing,226146
F00267,T046994,Phishing,361374
F00268,T028348,Card Fraud,267279
F00269,T035134,Money Laundering,172971
F00270,T021230,Card Fraud,116535
F00271,T045534,Card Fraud,25761
F00272,T040456,Phishing,129043
F00273,T005727,Money Laundering,477929
F00274,T030305,Money Laundering,144406
F00275,T024817,Card Fraud,396075
F00276,T002000,Phishing,257558
F00277,T003886,Money Laundering,177801
F00278,T031464,Phishing,380124
F00279,T022594,Money Laundering,354930
F00280,T043813,Identity Theft,240020
F00281,T024546,Card Fraud,26341
F00282,T044623,Identity Theft,372967
F00283,T014652,Phishing,419748
F00284,T029599,Card Fraud,222016
F00285,T014250,Phishing,203705
F00286,T010615,Money Laundering,351575
F00287,T008332,Phishing,304996
F00288,T040391,Identity Theft,369660
F00289,T031863,Card Fraud,488346
F00290,T011533,Phishing,329451
F00291,T043779,Phishing,331752
F00292,T036401,Money Laundering,317919
F00293,T036934,Money Laundering,430562
F00294,T042176,Card Fraud,175996
F00295,T016714,Card Fraud,235019
F00296,T019907,Money Laundering,129000
F00297,T045283,Identity Theft,377004
F00298,T026894,Identity Theft,73103
F00299,T047693,Card Fraud,69069
F00300,T045749,Money Laundering,330890
F00301,T025072,Identity Theft,487730
F00302,T006812,Money Laundering,315433
F00303,T042221,Phishing,310644
F00304,T049096,Card Fraud,120533
F00305,T006020,Phishing,109607
F00306,T013938,Phishing,467361
F00307,T012706,Money Laundering,430822
F00308,T016532,Phishing,343549
F00309,T026487,Phishing,70377
F00310,T047481,Card Fraud,397547
F00311,T014575,Money Laundering,97670
F00312,T026162,Phishing,465733
F00313,T005968,Phishing,45630
F00314,T012433,Identity Theft,259160
F00315,T049496,Card Fraud,355923
F00316,T022047,Card Fraud,120387
F00317,T033096,Card Fraud,441900
F00318,T034012,Card Fraud,144292
F00319,T043329,Phishing,367198
F00320,T003810,Phishing,462549
F00321,T021320,Money Laundering,223684
F00322,T032103,Card Fraud,464397
F00323,T006162,Money Laundering,488987
F00324,T036224,Phishing,323790
F00325,T037442,Phishing,402874
F00326,T018029,Phishing,437697
F00327,T041032,Card Fraud,452205
F00328,T008712,Card Fraud,14074
F00329,T011780,Phishing,188643
F00330,T005363,Money Laundering,106362
F00331,T041662,Phishing,5756
F00332,T013145,Phishing,277983
F00333,T041954,Phishing,460772
F00334,T039013,Phishing,26492
F00335,T010582,Phishing,130826
F00336,T049982,Identity Theft,326913
F00337,T028494,Card Fraud,392934
F00338,T044496,Phishing,211505
F00339,T030635,Identity Theft,489696
F00340,T047143,Card Fraud,202506
F00341,T047255,Phishing,236297
F00342,T016409,Identity Theft,105260
F00343,T022323,Card Fraud,59804
F00344,T027357,Money Laundering,14891
F00345,T001060,Card Fraud,119700
F00346,T004892,Money Laundering,82983
F00347,T013510,Card Fraud,187561
F00348,T008874,Card Fraud,29029
F00349,T027703,Money Laundering,64936
F00350,T026538,Identity Theft,418408
F00351,T026004,Card Fraud,52029
F00352,T029185,Identity Theft,52196
F00353,T006877,Phishing,125055
F00354,T039809,Phishing,450622
F00355,T028821,Phishing,70594
F00356,T034293,Identity Theft,177122
F00357,T040128,Card Fraud,450000
F00358,T000373,Card Fraud,275230
F00359,T016914,Phishing,470218
F00360,T032902,Phishing,371819
F00361,T002060,Money Laundering,58491
F00362,T009170,Identity Theft,462263
F00363,T032365,Phishing,428102
F00364,T019721,Card Fraud,424058
F00365,T047611,Money Laundering,394086
F00366,T037033,Phishing,278622
F00367,T016462,Identity Theft,37002
F00368,T024016,Money Laundering,315686
F00369,T041202,Identity Theft,161530
F00370,T016243,Phishing,330813
F00371,T013764,Money Laundering,121767
F00372,T009533,Phishing,298364
F00373,T028606,Identity Theft,435630
F00374,T027768,Card Fraud,63307
F00375,T029969,Identity Theft,232807
F00376,T003231,Phishing,345338
F00377,T044245,Phishing,49197
F00378,T034643,Identity Theft,264827
F00379,T005698,Card Fraud,154213
F00380,T036787,Identity Theft,22301
F00381,T022247,Card Fraud,403726
F00382,T026176,Card Fraud,370685
F00383,T015024,Identity Theft,25135
F00384,T020067,Card Fraud,273582
F00385,T015051,Card Fraud,111980
F00386,T013558,Card Fraud,188965
F00387,T021713,Identity Theft,416903
F00388,T035161,Phishing,72512
F00389,T040735,Identity Theft,297691
F00390,T039636,Card Fraud,365154
F00391,T037829,Phishing,450521
F00392,T013309,Phishing,310216
F00393,T016208,Phishing,325229
F00394,T009419,Phishing,31663
F00395,T024635,Money Laundering,457689
F00396,T020203,Phishing,10476
F00397,T038547,Card Fraud,90239
F00398,T017670,Card Fraud,294146
F00399,T033319,Card Fraud,429380
F00400,T005957,Phishing,453776
F00401,T024424,Identity Theft,392567
F00402,T003681,Card Fraud,219642
F00403,T032907,Card Fraud,156443
F00404,T041313,Phishing,82480
F00405,T021847,Money Laundering,97418
F00406,T044464,Card Fraud,166781
F00407,T031616,Card Fraud,314846
F00408,T013292,Money Laundering,447885
F00409,T016712,Phishing,199832
F00410,T045428,Card Fraud,146737
F00411,T019067,Phishing,384111
F00412,T035019,Phishing,488417
F00413,T035801,Money Laundering,165128
F00414,T025635,Card Fraud,438184
F00415,T037422,Card Fraud,490734
F00416,T012179,Identity Theft,303334
F00417,T027223,Money Laundering,147318
F00418,T047185,Identity Theft,385164
F00419,T018528,Phishing,417987
F00420,T048317,Money Laundering,400734
F00421,T028420,Phishing,350271
F00422,T012146,Identity Theft,110706
F00423,T047448,Phishing,443193
F00424,T003545,Phishing,110674
F00425,T016007,Card Fraud,264076
F00426,T016433,Money Laundering,46164
F00427,T038993,Phishing,313652
F00428,T027733,Card Fraud,442545
F00429,T007093,Identity Theft,467783
F00430,T035772,Card Fraud,350745
F00431,T049487,Card Fraud,54912
F00432,T032537,Identity Theft,323788
F00433,T040332,Identity Theft,386342
F00434,T020254,Phishing,289363
F00435,T040874,Money Laundering,70658
F00436,T029984,Money Laundering,469736
F00437,T039843,Money Laundering,118108
F00438,T010646,Card Fraud,111512
F00439,T009744,Identity Theft,139205
F00440,T032432,Card Fraud,424949
F00441,T023678,Phishing,418353
F00442,T007584,Phishing,169507
F00443,T049789,Phishing,440118
F00444,T030708,Phishing,20076
F00445,T035730,Phishing,187572
F00446,T016802,Identity Theft,247422
F00447,T038721,Identity Theft,459142
F00448,T017944,Phishing,232683
F00449,T042922,Phishing,256928
F00450,T007189,Phishing,388493
F00451,T015524,Identity Theft,364146
F00452,T046234,Card Fraud,391952
F00453,T008451,Phishing,349669
F00454,T033129,Card Fraud,328441
F00455,T028202,Identity Theft,284125
F00456,T037225,Money Laundering,24511
F00457,T025032,Card Fraud,211053
F00458,T015181,Card Fraud,376291
F00459,T009631,Identity Theft,300266
F00460,T035769,Identity Theft,7271
F00461,T017139,Identity Theft,60917
F00462,T000321,Phishing,169700
F00463,T027374,Phishing,325443
F00464,T041397,Money Laundering,87190
F00465,T040148,Phishing,241867
F00466,T014913,Phishing,44345
F00467,T028371,Identity Theft,96588
F00468,T006148,Phishing,389053
F00469,T032257,Money Laundering,283561
F00470,T027878,Card Fraud,482347
F00471,T004359,Phishing,400890
F00472,T028718,Money Laundering,1217
F00473,T014496,Identity Theft,66693
F00474,T031983,Card Fraud,154122
F00475,T043316,Identity Theft,351827
F00476,T002444,Identity Theft,24734
F00477,T001982,Identity Theft,229027
F00478,T014441,Identity Theft,100487
F00479,T007380,Identity Theft,105841
F00480,T021808,Identity Theft,142798
F00481,T039517,Identity Theft,219032
F00482,T043867,Phishing,74134
F00483,T008679,Identity Theft,410051
F00484,T023558,Card Fraud,401712
F00485,T016200,Phishing,41646
F00486,T037776,Phishing,425424
F00487,T004723,Identity Theft,473233
F00488,T014446,Identity Theft,346285
F00489,T035566,Phishing,316029
F00490,T005762,Money Laundering,9422
F00491,T020271,Phishing,88917
F00492,T033059,Identity Theft,15255
F00493,T004527,Card Fraud,188577
F00494,T030465,Identity Theft,384457
F00495,T001318,Identity Theft,498802
F00496,T029615,Phishing,43970
F00497,T030723,Identity Theft,378848
F00498,T049791,Money Laundering,397086
F00499,T008221,Phishing,344210
F00500,T017239,Card Fraud,386092
F00501,T013130,Card Fraud,480637
F00502,T024290,Identity Theft,177799
F00503,T003195,Money Laundering,135374
F00504,T022651,Money Laundering,481757
F00505,T024907,Card Fraud,56485
F00506,T024087,Card Fraud,179954
F00507,T034815,Identity Theft,241350
F00508,T047597,Identity Theft,471118
F00509,T019076,Identity Theft,191932
F00510,T029637,Identity Theft,5160
F00511,T039789,Money Laundering,255580
F00512,T008290,Identity Theft,329152
F00513,T005371,Identity Theft,206678
F00514,T041596,Identity Theft,22612
F00515,T023373,Identity Theft,398836
F00516,T026010,Phishing,259473
F00517,T018081,Identity Theft,186202
F00518,T002046,Phishing,343653
F00519,T043063,Money Laundering,52353
F00520,T019648,Card Fraud,304964
F00521,T025551,Phishing,36082
F00522,T031787,Money Laundering,59804
F00523,T039097,Money Laundering,22592
F00524,T046996,Money Laundering,117306
F00525,T003267,Card Fraud,459417
F00526,T042947,Card Fraud,19769
F00527,T047971,Money Laundering,427507
F00528,T045083,Identity Theft,281802
F00529,T047800,Phishing,442562
F00530,T021371,Money Laundering,78221
F00531,T027014,Identity Theft,276609
F00532,T017186,Money Laundering,18424
F00533,T017947,Card Fraud,140163
F00534,T012266,Phishing,260020
F00535,T023013,Card Fraud,386740
F00536,T047331,Phishing,455637
F00537,T027338,Identity Theft,4158
F00538,T031569,Card Fraud,389504
F00539,T016299,Identity Theft,482223
F00540,T038747,Money Laundering,83196
F00541,T037702,Card Fraud,265532
F00542,T031305,Money Laundering,315390
F00543,T029717,Card Fraud,31747
F00544,T037195,Identity Theft,451892
F00545,T019986,Identity Theft,451649
F00546,T007007,Phishing,21026
F00547,T030435,Phishing,482582
F00548,T048053,Identity Theft,321309
F00549,T028187,Money Laundering,171310
F00550,T030501,Money Laundering,321534
F00551,T006397,Identity Theft,325760
F00552,T028960,Card Fraud,418132
F00553,T000753,Phishing,482380
F00554,T029641,Card Fraud,446928
F00555,T022591,Card Fraud,188785
F00556,T004181,Money Laundering,188320
F00557,T012133,Identity Theft,130584
F00558,T032444,Card Fraud,324100
F00559,T025385,Phishing,17469
F00560,T028721,Phishing,104959
F00561,T014723,Identity Theft,434954
F00562,T019647,Phishing,196344
F00563,T038205,Card Fraud,475730
F00564,T031388,Phishing,244954
F00565,T041867,Card Fraud,165609
F00566,T012062,Card Fraud,385266
F00567,T015619,Identity Theft,49464
F00568,T026396,Phishing,68557
F00569,T037728,Money Laundering,246008
F00570,T011052,Card Fraud,220179
F00571,T026792,Phishing,190363
F00572,T044120,Phishing,157866
F00573,T021449,Money Laundering,286922
F00574,T022011,Money Laundering,404688
F00575,T022375,Card Fraud,405124
F00576,T044700,Identity Theft,306712
F00577,T038909,Phishing,191631
F00578,T036312,Identity Theft,141678
F00579,T027031,Phishing,65062
F00580,T037708,Card Fraud,413123
F00581,T040608,Phishing,156487
F00582,T020099,Phishing,378362
F00583,T001295,Phishing,259141
F00584,T010264,Money Laundering,263097
F00585,T038701,Card Fraud,225150
F00586,T009512,Money Laundering,268869
F00587,T004393,Identity Theft,184771
F00588,T024054,Card Fraud,428813
F00589,T045991,Phishing,60323
F00590,T045115,Money Laundering,115858
F00591,T034929,Phishing,455879
F00592,T037350,Money Laundering,483498
F00593,T049361,Phishing,425316
F00594,T028173,Identity Theft,305229
F00595,T041282,Money Laundering,279768
F00596,T001458,Card Fraud,483448
F00597,T012566,Identity Theft,170904
F00598,T002802,Identity Theft,336208
F00599,T023885,Card Fraud,497628
F00600,T047013,Phishing,304664
F00601,T033280,Card Fraud,25910
F00602,T003968,Phishing,439512
F00603,T018135,Card Fraud,26303
F00604,T014815,Money Laundering,315324
F00605,T029195,Card Fraud,50552
F00606,T034122,Money Laundering,490628
F00607,T037751,Money Laundering,165437
F00608,T013153,Money Laundering,138636
F00609,T012365,Money Laundering,210711
F00610,T047998,Card Fraud,56378
F00611,T026355,Phishing,218359
F00612,T005011,Card Fraud,190285
F00613,T036251,Phishing,194678
F00614,T016436,Card Fraud,326172
F00615,T027268,Identity Theft,346456
F00616,T007781,Card Fraud,366866
F00617,T023198,Money Laundering,55108
F00618,T018959,Card Fraud,249572
F00619,T035127,Card Fraud,276451
F00620,T044281,Phishing,312286
F00621,T042649,Phishing,134972
F00622,T042468,Phishing,287896
F00623,T008406,Phishing,90613
F00624,T001030,Identity Theft,470717
F00625,T045490,Card Fraud,384867
F00626,T017069,Identity Theft,39050
F00627,T007729,Card Fraud,17634
F00628,T013279,Money Laundering,429120
F00629,T011072,Money Laundering,403137
F00630,T036276,Phishing,105784
F00631,T023652,Identity Theft,311530
F00632,T021424,Money Laundering,38775
F00633,T048854,Identity Theft,20816
F00634,T015735,Card Fraud,211450
F00635,T043944,Money Laundering,351248
F00636,T037536,Phishing,215383
F00637,T026177,Money Laundering,43238
F00638,T027401,Identity Theft,219661
F00639,T028944,Phishing,243239
F00640,T018745,Card Fraud,230118
F00641,T026578,Identity Theft,318140
F00642,T029220,Identity Theft,403011
F00643,T004548,Money Laundering,479886
F00644,T031233,Phishing,388490
F00645,T013461,Identity Theft,259444
F00646,T031748,Phishing,61540
F00647,T023822,Phishing,102038
F00648,T033997,Money Laundering,168474
F00649,T022433,Phishing,254390
F00650,T013431,Identity Theft,465200
F00651,T003645,Money Laundering,94887
F00652,T025944,Money Laundering,359334
F00653,T031333,Card Fraud,302169
F00654,T009275,Phishing,445242
F00655,T011821,Money Laundering,122621
F00656,T045154,Card Fraud,236232
F00657,T008682,Identity Theft,452114
F00658,T030241,Identity Theft,204480
F00659,T004561,Identity Theft,185595
F00660,T013090,Phishing,108323
F00661,T034500,Identity Theft,446884
F00662,T047528,Money Laundering,421383
F00663,T022178,Phishing,476479
F00664,T035737,Identity Theft,429912
F00665,T000260,Phishing,81478
F00666,T037680,Card Fraud,475095
F00667,T036069,Phishing,314455
F00668,T028277,Phishing,92826
F00669,T020670,Money Laundering,256151
F00670,T042383,Identity Theft,413073
F00671,T006759,Identity Theft,283711
F00672,T018394,Card Fraud,129752
F00673,T001397,Identity Theft,478878
F00674,T000783,Money Laundering,357701
F00675,T009828,Identity Theft,320786
F00676,T006972,Identity Theft,302643
F00677,T032482,Identity Theft,83438
F00678,T016440,Phishing,110596
F00679,T034801,Money Laundering,45069
F00680,T013424,Card Fraud,459189
F00681,T029865,Phishing,222781
F00682,T036387,Card Fraud,388102
F00683,T048282,Card Fraud,473060
F00684,T001457,Card Fraud,326705
F00685,T044960,Card Fraud,420888
F00686,T029475,Money Laundering,266407
F00687,T014704,Money Laundering,272919
F00688,T047588,Money Laundering,362283
F00689,T008529,Phishing,187290
F00690,T027027,Money Laundering,86154
F00691,T034418,Identity Theft,23980
F00692,T046833,Card Fraud,380412
F00693,T028901,Phishing,477635
F00694,T002780,Card Fraud,289181
F00695,T006655,Money Laundering,103984
F00696,T028444,Phishing,95088
F00697,T009174,Money Laundering,346212
F00698,T031102,Card Fraud,304700
F00699,T037679,Card Fraud,183946
F00700,T018821,Money Laundering,313471
F00701,T019504,Card Fraud,215644
F00702,T042745,Phishing,409434
F00703,T007126,Phishing,325418
F00704,T033584,Card Fraud,471234
F00705,T018569,Identity Theft,36097
F00706,T008012,Money Laundering,413147
F00707,T015056,Money Laundering,234122
F00708,T044487,Card Fraud,316639
F00709,T024925,Card Fraud,462425
F00710,T042030,Card Fraud,117497
F00711,T017510,Phishing,110448
F00712,T044325,Identity Theft,478799
F00713,T018793,Identity Theft,486830
F00714,T021484,Card Fraud,299093
F00715,T038457,Identity Theft,107895
F00716,T025309,Phishing,202983
F00717,T042990,Card Fraud,390397
F00718,T005345,Money Laundering,124065
F00719,T040965,Phishing,322114
F00720,T032564,Card Fraud,248979
F00721,T044171,Phishing,475795
F00722,T030368,Money Laundering,94409
F00723,T019342,Identity Theft,94168
F00724,T045885,Identity Theft,194575
F00725,T001918,Phishing,57500
F00726,T038973,Money Laundering,225823
F00727,T004545,Phishing,237388
F00728,T010331,Identity Theft,286820
F00729,T042970,Money Laundering,201293
F00730,T003318,Phishing,480525
F00731,T004050,Phishing,346796
F00732,T010192,Money Laundering,310721
F00733,T023098,Identity Theft,178146
F00734,T040455,Phishing,22694
F00735,T012607,Identity Theft,431588
F00736,T019018,Money Laundering,431361
F00737,T007891,Phishing,231475
F00738,T031806,Money Laundering,135755
F00739,T043815,Money Laundering,101302
F00740,T020588,Identity Theft,103572
F00741,T046941,Money Laundering,253724
F00742,T019544,Identity Theft,150429
F00743,T041087,Identity Theft,265278
F00744,T045704,Phishing,466515
F00745,T001914,Identity Theft,472427
F00746,T002834,Identity Theft,144158
F00747,T005923,Identity Theft,131737
F00748,T035143,Card Fraud,139213
F00749,T039201,Card Fraud,185006
F00750,T028370,Identity Theft,40754
F00751,T030594,Money Laundering,443176
F00752,T032071,Money Laundering,24976
F00753,T004919,Phishing,437068
F00754,T032245,Money Laundering,154476
F00755,T033396,Identity Theft,253420
F00756,T001174,Card Fraud,194056
F00757,T014117,Card Fraud,125140
F00758,T039162,Money Laundering,114752
F00759,T024208,Money Laundering,134329
F00760,T011307,Card Fraud,34532
F00761,T034995,Money Laundering,110996
F00762,T043238,Phishing,231453
F00763,T007719,Identity Theft,335527
F00764,T038932,Identity Theft,441614
F00765,T028128,Phishing,325670
F00766,T019277,Identity Theft,443273
F00767,T005521,Money Laundering,111081
F00768,T035094,Money Laundering,160059
F00769,T025530,Card Fraud,244370
F00770,T030593,Money Laundering,267370
F00771,T040559,Money Laundering,158407
F00772,T039262,Card Fraud,408830
F00773,T005925,Money Laundering,251335
F00774,T007497,Money Laundering,230729
F00775,T043906,Money Laundering,474950
F00776,T024957,Identity Theft,20922
F00777,T038375,Phishing,222729
F00778,T013565,Phishing,309891
F00779,T049790,Phishing,359555
F00780,T036523,Card Fraud,292678
F00781,T039049,Money Laundering,108844
F00782,T035593,Card Fraud,75267
F00783,T023013,Money Laundering,202492
F00784,T027116,Phishing,351964
F00785,T014850,Card Fraud,499278
F00786,T035086,Identity Theft,383003
F00787,T040427,Identity Theft,450387
F00788,T016160,Money Laundering,359615
F00789,T009308,Identity Theft,423347
F00790,T002769,Money Laundering,149080
F00791,T010610,Identity Theft,6215
F00792,T049799,Money Laundering,273322
F00793,T032803,Card Fraud,399784
F00794,T048353,Identity Theft,218623
F00795,T003561,Phishing,296101
F00796,T021847,Phishing,173018
F00797,T038262,Identity Theft,50256
F00798,T036769,Identity Theft,420693
F00799,T007111,Identity Theft,109104
F00800,T023325,Phishing,200318
